COMMODITY,VARIETY,ARRIVAL_DATE,MODAL_PRICE
Pointed gourd (Parval),Other,19/01/2016,6000.0
Pointed gourd (Parval),Other,21/01/2016,5500.0
Pointed gourd (Parval),Other,22/01/2016,5500.0
Pointed gourd (Parval),Other,28/01/2016,5250.0
Pointed gourd (Parval),Other,29/01/2016,5250.0
Pointed gourd (Parval),Other,30/01/2016,5500.0
Pointed gourd (Parval),Other,01/02/2016,5250.0
Pointed gourd (Parval),Other,02/02/2016,5250.0
Pointed gourd (Parval),Other,04/02/2016,5500.0
Pointed gourd (Parval),Other,05/02/2016,5750.0
Pointed gourd (Parval),Other,09/02/2016,5500.0
Pointed gourd (Parval),Other,10/02/2016,5500.0
Pointed gourd (Parval),Other,11/02/2016,5500.0
Pointed gourd (Parval),Other,12/02/2016,5500.0
Pointed gourd (Parval),Other,24/02/2016,5750.0
Pointed gourd (Parval),Other,25/02/2016,5750.0
Pointed gourd (Parval),Other,26/02/2016,5750.0
Pointed gourd (Parval),Other,27/02/2016,5750.0
Pointed gourd (Parval),Other,29/02/2016,5750.0
Pointed gourd (Parval),Other,02/03/2016,5750.0
Pointed gourd (Parval),Other,03/03/2016,5750.0
Pointed gourd (Parval),Other,04/03/2016,5500.0
Pointed gourd (Parval),Other,05/03/2016,5250.0
Pointed gourd (Parval),Other,10/03/2016,4750.0
Pointed gourd (Parval),Other,16/03/2016,4750.0
Pointed gourd (Parval),Other,17/03/2016,4750.0
Pointed gourd (Parval),Other,18/03/2016,4875.0
Pointed gourd (Parval),Other,19/03/2016,4875.0
Pointed gourd (Parval),Other,21/03/2016,4875.0
Pointed gourd (Parval),Other,22/03/2016,4750.0
Pointed gourd (Parval),Other,23/03/2016,4625.0
Pointed gourd (Parval),Other,28/03/2016,4875.0
Pointed gourd (Parval),Other,29/03/2016,4750.0
Pointed gourd (Parval),Other,30/03/2016,4750.0
Pointed gourd (Parval),Other,31/03/2016,4750.0
Pointed gourd (Parval),Other,01/04/2016,4750.0
Pointed gourd (Parval),Other,06/04/2016,3550.0
Pointed gourd (Parval),Other,07/04/2016,3375.0
Pointed gourd (Parval),Other,08/04/2016,3375.0
Pointed gourd (Parval),Other,09/04/2016,3375.0
Pointed gourd (Parval),Other,11/04/2016,3625.0
Pointed gourd (Parval),Other,12/04/2016,3750.0
Pointed gourd (Parval),Other,13/04/2016,3750.0
Pointed gourd (Parval),Other,18/04/2016,4600.0
Pointed gourd (Parval),Other,19/04/2016,4575.0
Pointed gourd (Parval),Other,20/04/2016,4375.0
Pointed gourd (Parval),Other,21/04/2016,3625.0
Pointed gourd (Parval),Other,22/04/2016,3300.0
Pointed gourd (Parval),Other,23/04/2016,3550.0
Pointed gourd (Parval),Other,25/04/2016,3625.0
Pointed gourd (Parval),Other,26/04/2016,3625.0
Pointed gourd (Parval),Other,27/04/2016,3625.0
Pointed gourd (Parval),Other,28/04/2016,3550.0
Pointed gourd (Parval),Other,29/04/2016,3375.0
Pointed gourd (Parval),Other,30/04/2016,3450.0
Pointed gourd (Parval),Other,02/05/2016,3625.0
Pointed gourd (Parval),Other,03/05/2016,3375.0
Pointed gourd (Parval),Other,04/05/2016,3125.0
Pointed gourd (Parval),Other,05/05/2016,2825.0
Pointed gourd (Parval),Other,07/05/2016,2875.0
Pointed gourd (Parval),Other,09/05/2016,2825.0
Pointed gourd (Parval),Other,10/05/2016,2625.0
Pointed gourd (Parval),Other,11/05/2016,2600.0
Pointed gourd (Parval),Other,12/05/2016,2600.0
Pointed gourd (Parval),Other,13/05/2016,2550.0
Pointed gourd (Parval),Other,14/05/2016,2625.0
Pointed gourd (Parval),Other,16/05/2016,2875.0
Pointed gourd (Parval),Other,17/05/2016,2875.0
Pointed gourd (Parval),Other,18/05/2016,3050.0
Pointed gourd (Parval),Other,19/05/2016,3100.0
Pointed gourd (Parval),Other,20/05/2016,2875.0
Pointed gourd (Parval),Other,21/05/2016,3050.0
Pointed gourd (Parval),Other,23/05/2016,2825.0
Pointed gourd (Parval),Other,24/05/2016,2875.0
Pointed gourd (Parval),Other,25/05/2016,2850.0
Pointed gourd (Parval),Other,26/05/2016,3025.0
Pointed gourd (Parval),Other,27/05/2016,3125.0
Pointed gourd (Parval),Other,28/05/2016,3375.0
Pointed gourd (Parval),Other,02/06/2016,3625.0
Pointed gourd (Parval),Other,03/06/2016,3875.0
Pointed gourd (Parval),Other,04/06/2016,4075.0
Pointed gourd (Parval),Other,06/06/2016,3875.0
Pointed gourd (Parval),Other,07/06/2016,3575.0
Pointed gourd (Parval),Other,08/06/2016,3625.0
Pointed gourd (Parval),Other,09/06/2016,3375.0
Pointed gourd (Parval),Other,10/06/2016,3450.0
Pointed gourd (Parval),Other,11/06/2016,3625.0
Pointed gourd (Parval),Other,13/06/2016,3625.0
Pointed gourd (Parval),Other,14/06/2016,3875.0
Pointed gourd (Parval),Other,16/06/2016,3700.0
Pointed gourd (Parval),Other,17/06/2016,3700.0
Pointed gourd (Parval),Other,18/06/2016,3875.0
Pointed gourd (Parval),Other,20/06/2016,3625.0
Pointed gourd (Parval),Other,21/06/2016,3375.0
Pointed gourd (Parval),Other,22/06/2016,3125.0
Pointed gourd (Parval),Other,23/06/2016,3125.0
Pointed gourd (Parval),Other,24/06/2016,3250.0
Pointed gourd (Parval),Other,25/06/2016,3200.0
Pointed gourd (Parval),Other,28/06/2016,3200.0
Pointed gourd (Parval),Other,29/06/2016,3625.0
Pointed gourd (Parval),Other,01/07/2016,3200.0
Pointed gourd (Parval),Other,04/07/2016,1575.0
Pointed gourd (Parval),Other,05/07/2016,1675.0
Pointed gourd (Parval),Other,06/07/2016,2050.0
Pointed gourd (Parval),Other,07/07/2016,2100.0
Pointed gourd (Parval),Other,08/07/2016,1875.0
Pointed gourd (Parval),Other,09/07/2016,1950.0
Pointed gourd (Parval),Other,11/07/2016,2125.0
Pointed gourd (Parval),Other,12/07/2016,2450.0
Pointed gourd (Parval),Other,13/07/2016,2625.0
Pointed gourd (Parval),Other,14/07/2016,2625.0
Pointed gourd (Parval),Other,15/07/2016,2875.0
Pointed gourd (Parval),Other,16/07/2016,2875.0
Pointed gourd (Parval),Other,18/07/2016,2875.0
Pointed gourd (Parval),Other,19/07/2016,2825.0
Pointed gourd (Parval),Other,20/07/2016,2625.0
Pointed gourd (Parval),Other,21/07/2016,2625.0
Pointed gourd (Parval),Other,22/07/2016,2700.0
Pointed gourd (Parval),Other,25/07/2016,2875.0
Pointed gourd (Parval),Other,27/07/2016,2425.0
Pointed gourd (Parval),Other,28/07/2016,1825.0
Pointed gourd (Parval),Other,29/07/2016,1500.0
Pointed gourd (Parval),Other,01/08/2016,1600.0
Pointed gourd (Parval),Other,02/08/2016,1600.0
Pointed gourd (Parval),Other,03/08/2016,1500.0
Pointed gourd (Parval),Other,05/08/2016,1575.0
Pointed gourd (Parval),Other,06/08/2016,1300.0
Pointed gourd (Parval),Other,08/08/2016,1100.0
Pointed gourd (Parval),Other,09/08/2016,1550.0
Pointed gourd (Parval),Other,10/08/2016,1550.0
Pointed gourd (Parval),Other,11/08/2016,1400.0
Pointed gourd (Parval),Other,12/08/2016,1200.0
Pointed gourd (Parval),Other,13/08/2016,1175.0
Pointed gourd (Parval),Other,19/08/2016,1600.0
Pointed gourd (Parval),Other,20/08/2016,1875.0
Pointed gourd (Parval),Other,22/08/2016,1550.0
Pointed gourd (Parval),Other,23/08/2016,1100.0
Pointed gourd (Parval),Other,24/08/2016,900.0
Pointed gourd (Parval),Other,26/08/2016,1550.0
Pointed gourd (Parval),Other,27/08/2016,1500.0
Pointed gourd (Parval),Other,03/09/2016,1550.0
Pointed gourd (Parval),Other,06/09/2016,1600.0
Pointed gourd (Parval),Other,07/09/2016,1550.0
Pointed gourd (Parval),Other,08/09/2016,1500.0
Pointed gourd (Parval),Other,09/09/2016,1500.0
Pointed gourd (Parval),Other,10/09/2016,1400.0
Pointed gourd (Parval),Other,13/09/2016,1100.0
Pointed gourd (Parval),Other,14/09/2016,1100.0
Pointed gourd (Parval),Other,15/09/2016,900.0
Pointed gourd (Parval),Other,16/09/2016,1050.0
Pointed gourd (Parval),Other,17/09/2016,1100.0
Pointed gourd (Parval),Other,19/09/2016,800.0
Pointed gourd (Parval),Other,20/09/2016,750.0
Pointed gourd (Parval),Other,21/09/2016,800.0
Pointed gourd (Parval),Other,22/09/2016,900.0
Pointed gourd (Parval),Other,23/09/2016,1100.0
Pointed gourd (Parval),Other,24/09/2016,1450.0
Pointed gourd (Parval),Other,26/09/2016,1400.0
Pointed gourd (Parval),Other,27/09/2016,1600.0
Pointed gourd (Parval),Other,28/09/2016,1800.0
Pointed gourd (Parval),Other,29/09/2016,1950.0
Pointed gourd (Parval),Other,30/09/2016,2100.0
Pointed gourd (Parval),Other,01/10/2016,2125.0
Pointed gourd (Parval),Other,03/10/2016,2600.0
Pointed gourd (Parval),Other,04/10/2016,2600.0
Pointed gourd (Parval),Other,05/10/2016,2875.0
Pointed gourd (Parval),Other,06/10/2016,2625.0
Pointed gourd (Parval),Other,07/10/2016,2825.0
Pointed gourd (Parval),Other,08/10/2016,2700.0
Pointed gourd (Parval),Other,12/10/2016,3600.0
Pointed gourd (Parval),Other,13/10/2016,3600.0
Pointed gourd (Parval),Other,14/10/2016,3375.0
Pointed gourd (Parval),Other,17/10/2016,3875.0
Pointed gourd (Parval),Other,18/10/2016,3875.0
Pointed gourd (Parval),Other,19/10/2016,3825.0
Pointed gourd (Parval),Other,20/10/2016,3875.0
Pointed gourd (Parval),Other,21/10/2016,3875.0
Pointed gourd (Parval),Other,22/10/2016,3825.0
Pointed gourd (Parval),Other,24/10/2016,3175.0
Pointed gourd (Parval),Other,25/10/2016,3325.0
Pointed gourd (Parval),Other,26/10/2016,3625.0
Pointed gourd (Parval),Other,27/10/2016,3575.0
Pointed gourd (Parval),Other,28/10/2016,3575.0
Pointed gourd (Parval),Other,29/10/2016,3125.0
Pointed gourd (Parval),Other,07/02/2015,9500.0
Pointed gourd (Parval),Other,12/02/2015,7500.0
Pointed gourd (Parval),Other,20/02/2015,7000.0
Pointed gourd (Parval),Other,24/02/2015,6250.0
Pointed gourd (Parval),Other,25/02/2015,5750.0
Pointed gourd (Parval),Other,26/02/2015,5500.0
Pointed gourd (Parval),Other,03/03/2015,6000.0
Pointed gourd (Parval),Other,04/03/2015,6000.0
Pointed gourd (Parval),Other,09/03/2015,6000.0
Pointed gourd (Parval),Other,10/03/2015,6000.0
Pointed gourd (Parval),Other,11/03/2015,6000.0
Pointed gourd (Parval),Other,12/03/2015,6000.0
Pointed gourd (Parval),Other,13/03/2015,6000.0
Pointed gourd (Parval),Other,14/03/2015,6000.0
Pointed gourd (Parval),Other,16/03/2015,6000.0
Pointed gourd (Parval),Other,17/03/2015,6000.0
