,DATE,MODAL
0,2010-01-01,400.0
1,2010-01-02,450.0
2,2010-01-03,475.0
3,2010-01-04,500.0
4,2010-01-05,475.0
5,2010-01-06,437.5
6,2010-01-07,400.0
7,2010-01-08,450.0
8,2010-01-09,450.0
9,2010-01-10,450.0
10,2010-01-11,450.0
11,2010-01-12,425.0
12,2010-01-13,400.0
13,2010-01-14,425.0
14,2010-01-15,450.0
15,2010-01-16,550.0
16,2010-01-17,525.0
17,2010-01-18,500.0
18,2010-01-19,475.0
19,2010-01-20,437.5
20,2010-01-21,400.0
21,2010-01-22,450.0
22,2010-01-23,450.0
23,2010-01-24,450.0
24,2010-01-25,450.0
25,2010-01-26,450.0
26,2010-01-27,450.0
27,2010-01-28,400.0
28,2010-01-29,450.0
29,2010-01-30,550.0
30,2010-01-31,500.0
31,2010-02-01,450.0
32,2010-02-02,425.0
33,2010-02-03,450.0
34,2010-02-04,450.0
35,2010-02-05,500.0
36,2010-02-06,425.0
37,2010-02-07,437.5
38,2010-02-08,450.0
39,2010-02-09,450.0
40,2010-02-10,450.0
41,2010-02-11,400.0
42,2010-02-12,400.0
43,2010-02-13,400.0
44,2010-02-14,400.0
45,2010-02-15,400.0
46,2010-02-16,400.0
47,2010-02-17,400.0
48,2010-02-18,400.0
49,2010-02-19,500.0
50,2010-02-20,450.0
51,2010-02-21,575.0
52,2010-02-22,700.0
53,2010-02-23,500.0
54,2010-02-24,425.0
55,2010-02-25,450.0
56,2010-02-26,450.0
57,2010-02-27,450.0
58,2010-02-28,450.0
59,2010-03-01,450.0
60,2010-03-02,450.0
61,2010-03-03,400.0
62,2010-03-04,400.0
63,2010-03-05,400.0
64,2010-03-06,350.0
65,2010-03-07,387.5
66,2010-03-08,425.0
67,2010-03-09,450.0
68,2010-03-10,400.0
69,2010-03-11,400.0
70,2010-03-12,400.0
71,2010-03-13,386.66666666666674
72,2010-03-14,373.33333333333326
73,2010-03-15,360.0
74,2010-03-16,425.0
75,2010-03-17,412.5
76,2010-03-18,400.0
77,2010-03-19,450.0
78,2010-03-20,458.33333333333326
79,2010-03-21,466.66666666666674
80,2010-03-22,475.0
81,2010-03-23,550.0
82,2010-03-24,525.0
83,2010-03-25,500.0
84,2010-03-26,475.0
85,2010-03-27,600.0
86,2010-03-28,550.0
87,2010-03-29,500.0
88,2010-03-30,450.0
89,2010-03-31,500.0
90,2010-04-01,550.0
91,2010-04-02,650.0
92,2010-04-03,600.0
93,2010-04-04,675.0
94,2010-04-05,750.0
95,2010-04-06,750.0
96,2010-04-07,400.0
97,2010-04-08,775.0
98,2010-04-09,300.0
99,2010-04-10,700.0
100,2010-04-11,725.0
101,2010-04-12,750.0
102,2010-04-13,775.0
103,2010-04-14,775.0
104,2010-04-15,250.0
105,2010-04-16,750.0
106,2010-04-17,325.0
107,2010-04-18,350.0
108,2010-04-19,375.0
109,2010-04-20,325.0
110,2010-04-21,375.0
111,2010-04-22,475.0
112,2010-04-23,350.0
113,2010-04-24,358.33333333333326
114,2010-04-25,366.66666666666674
115,2010-04-26,375.0
116,2010-04-27,375.0
117,2010-04-28,425.0
118,2010-04-29,375.0
119,2010-04-30,375.0
120,2010-05-01,416.66666666666674
121,2010-05-02,458.33333333333326
122,2010-05-03,500.0
123,2010-05-04,400.0
124,2010-05-05,525.0
125,2010-05-06,800.0
126,2010-05-07,450.0
127,2010-05-08,458.33333333333326
128,2010-05-09,466.66666666666674
129,2010-05-10,475.0
130,2010-05-11,450.0
131,2010-05-12,450.0
132,2010-05-13,1150.0
133,2010-05-14,400.0
134,2010-05-15,625.0
135,2010-05-16,712.5
136,2010-05-17,800.0
137,2010-05-18,650.0
138,2010-05-19,500.0
139,2010-05-20,575.0
140,2010-05-21,425.0
141,2010-05-22,450.0
142,2010-05-23,475.0
143,2010-05-24,500.0
144,2010-05-25,650.0
145,2010-05-26,525.0
146,2010-05-27,400.0
147,2010-05-28,550.0
148,2010-05-29,500.0
149,2010-05-30,562.5
150,2010-05-31,625.0
151,2010-06-01,600.0
152,2010-06-02,750.0
153,2010-06-03,675.0
154,2010-06-04,450.0
155,2010-06-05,600.0
156,2010-06-06,625.0
157,2010-06-07,650.0
158,2010-06-08,600.0
159,2010-06-09,725.0
160,2010-06-10,850.0
161,2010-06-11,650.0
162,2010-06-12,650.0
163,2010-06-13,650.0
164,2010-06-14,650.0
165,2010-06-15,750.0
166,2010-06-16,600.0
167,2010-06-17,550.0
168,2010-06-18,500.0
169,2010-06-19,575.0
170,2010-06-20,650.0
171,2010-06-21,725.0
172,2010-06-22,625.0
173,2010-06-23,700.0
174,2010-06-24,625.0
175,2010-06-25,700.0
176,2010-06-26,700.0
177,2010-06-27,700.0
178,2010-06-28,700.0
179,2010-06-29,700.0
180,2010-06-30,950.0
181,2010-07-01,700.0
182,2010-07-02,950.0
183,2010-07-03,700.0
184,2010-07-04,700.0
185,2010-07-05,700.0
186,2010-07-06,800.0
187,2010-07-07,925.0
188,2010-07-08,900.0
189,2010-07-09,750.0
190,2010-07-10,800.0
191,2010-07-11,850.0
192,2010-07-12,900.0
193,2010-07-13,750.0
194,2010-07-14,800.0
195,2010-07-15,750.0
196,2010-07-16,850.0
197,2010-07-17,700.0
198,2010-07-18,725.0
199,2010-07-19,750.0
200,2010-07-20,650.0
201,2010-07-21,650.0
202,2010-07-22,700.0
203,2010-07-23,625.0
204,2010-07-24,608.3333333333334
205,2010-07-25,591.6666666666666
206,2010-07-26,575.0
207,2010-07-27,578.5714285714286
208,2010-07-28,582.1428571428571
209,2010-07-29,585.7142857142858
210,2010-07-30,589.2857142857142
211,2010-07-31,592.8571428571429
212,2010-08-01,596.4285714285714
213,2010-08-02,600.0
214,2010-08-03,700.0
215,2010-08-04,500.0
216,2010-08-05,500.0
217,2010-08-06,600.0
218,2010-08-07,650.0
219,2010-08-08,575.0
220,2010-08-09,500.0
221,2010-08-10,525.0
222,2010-08-11,550.0
223,2010-08-12,550.0
224,2010-08-13,500.0
225,2010-08-14,500.0
226,2010-08-15,500.0
227,2010-08-16,500.0
228,2010-08-17,475.0
229,2010-08-18,400.0
230,2010-08-19,450.0
231,2010-08-20,481.25
232,2010-08-21,512.5
233,2010-08-22,543.75
234,2010-08-23,575.0
235,2010-08-24,612.5
236,2010-08-25,650.0
237,2010-08-26,500.0
238,2010-08-27,425.0
239,2010-08-28,466.66666666666674
240,2010-08-29,508.33333333333326
241,2010-08-30,550.0
242,2010-08-31,500.0
243,2010-09-01,500.0
244,2010-09-02,450.0
245,2010-09-03,400.0
246,2010-09-04,500.0
247,2010-09-05,450.0
248,2010-09-06,400.0
249,2010-09-07,375.0
250,2010-09-08,350.0
251,2010-09-09,500.0
252,2010-09-10,550.0
253,2010-09-11,508.33333333333326
