DATE,MODAL
2010-01-01,750.0
2010-01-02,1000.0
2010-01-03,900.0
2010-01-04,800.0
2010-01-05,850.0
2010-01-06,862.5
2010-01-07,875.0
2010-01-08,850.0
2010-01-09,933.3333333333334
2010-01-10,1016.6666666666666
2010-01-11,1100.0
2010-01-12,925.0
2010-01-13,975.0
2010-01-14,975.0
2010-01-15,975.0
2010-01-16,875.0
2010-01-17,812.5
2010-01-18,750.0
2010-01-19,725.0
2010-01-20,687.5
2010-01-21,650.0
2010-01-22,650.0
2010-01-23,633.3333333333334
2010-01-24,616.6666666666666
2010-01-25,600.0
2010-01-26,550.0
2010-01-27,500.0
2010-01-28,525.0
2010-01-29,500.0
2010-01-30,700.0
2010-01-31,575.0
2010-02-01,450.0
2010-02-02,500.0
2010-02-03,450.0
2010-02-04,500.0
2010-02-05,500.0
2010-02-06,450.0
2010-02-07,525.0
2010-02-08,600.0
2010-02-09,550.0
2010-02-10,350.0
2010-02-11,400.0
2010-02-12,400.0
2010-02-13,400.0
2010-02-14,400.0
2010-02-15,400.0
2010-02-16,400.0
2010-02-17,400.0
2010-02-18,550.0
2010-02-19,475.0
2010-02-20,400.0
2010-02-21,400.0
2010-02-22,400.0
2010-02-23,450.0
2010-02-24,450.0
2010-02-25,450.0
2010-02-26,400.0
2010-02-27,400.0
2010-02-28,400.0
2010-03-01,400.0
2010-03-02,400.0
2010-03-03,425.0
2010-03-04,400.0
2010-03-05,400.0
2010-03-06,450.0
2010-03-07,425.0
2010-03-08,400.0
2010-03-09,387.5
2010-03-10,375.0
2010-03-11,500.0
2010-03-12,475.0
2010-03-13,466.6666666666667
2010-03-14,458.3333333333333
2010-03-15,450.0
2010-03-16,400.0
2010-03-17,400.0
2010-03-18,400.0
2010-03-19,500.0
2010-03-20,483.3333333333333
2010-03-21,466.6666666666667
2010-03-22,450.0
2010-03-23,450.0
2010-03-24,450.0
2010-03-25,450.0
2010-03-26,475.0
2010-03-27,475.0
2010-03-28,475.0
2010-03-29,475.0
2010-03-30,550.0
2010-03-31,525.0
2010-04-01,500.0
2010-04-02,550.0
2010-04-03,400.0
2010-04-04,400.0
2010-04-05,400.0
2010-04-06,500.0
2010-04-07,500.0
2010-04-08,700.0
2010-04-09,500.0
2010-04-10,900.0
2010-04-11,966.6666666666666
2010-04-12,1033.3333333333333
2010-04-13,1100.0
2010-04-14,550.0
2010-04-15,650.0
2010-04-16,550.0
2010-04-17,550.0
2010-04-18,825.0
2010-04-19,1100.0
2010-04-20,1100.0
2010-04-21,1100.0
2010-04-22,1100.0
2010-04-23,1100.0
2010-04-24,1150.0
2010-04-25,1200.0
2010-04-26,1250.0
2010-04-27,1250.0
2010-04-28,1250.0
2010-04-29,1450.0
2010-04-30,1100.0
2010-05-01,1062.5
2010-05-02,1025.0
2010-05-03,987.5
2010-05-04,950.0
2010-05-05,950.0
2010-05-06,875.0
2010-05-07,968.75
2010-05-08,1062.5
2010-05-09,1156.25
2010-05-10,1250.0
2010-05-11,1250.0
2010-05-12,1100.0
2010-05-13,550.0
2010-05-14,1150.0
2010-05-15,550.0
2010-05-16,1150.0
2010-05-17,1750.0
2010-05-18,1562.5
2010-05-19,1375.0
2010-05-20,1350.0
