,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Surat,Surat,Cauliflower,Other,FAQ,1500,4500,3000,31 Aug 2020
1,Surat,Surat,Cauliflower,Other,FAQ,1250,4000,2625,29 Aug 2020
2,Surat,Surat,Cauliflower,Other,FAQ,1500,3500,2500,28 Aug 2020
3,Surat,Surat,Cauliflower,Other,FAQ,1800,4500,3150,27 Aug 2020
4,Surat,Surat,Cauliflower,Other,FAQ,1750,4500,3125,26 Aug 2020
5,Surat,Surat,Cauliflower,Other,FAQ,1500,3500,2500,25 Aug 2020
6,Surat,Surat,Cauliflower,Other,FAQ,800,3500,2150,24 Aug 2020
7,Surat,Surat,Cauliflower,Other,FAQ,1300,3000,2150,21 Aug 2020
8,Surat,Surat,Cauliflower,Other,FAQ,1100,3000,2050,20 Aug 2020
9,Surat,Surat,Cauliflower,Other,FAQ,1100,3000,2050,19 Aug 2020
10,Surat,Surat,Cauliflower,Other,FAQ,600,3000,1800,18 Aug 2020
11,Surat,Surat,Cauliflower,Other,FAQ,1250,3500,2375,17 Aug 2020
12,Surat,Surat,Cauliflower,Other,FAQ,1100,3000,2050,14 Aug 2020
13,Surat,Surat,Cauliflower,Other,FAQ,1000,3000,2000,13 Aug 2020
14,Surat,Surat,Cauliflower,Other,FAQ,1000,3250,2125,11 Aug 2020
15,Surat,Surat,Cauliflower,Other,FAQ,1000,3000,2000,10 Aug 2020
16,Surat,Surat,Cauliflower,Other,FAQ,1200,3000,2100,09 Aug 2020
17,Surat,Surat,Cauliflower,Other,FAQ,1000,3250,2125,31 Jul 2020
18,Surat,Surat,Cauliflower,Other,FAQ,1100,3500,2300,30 Jul 2020
19,Surat,Surat,Cauliflower,Other,FAQ,1200,3000,2100,29 Jul 2020
20,Surat,Surat,Cauliflower,Other,FAQ,1100,3000,2050,28 Jul 2020
21,Surat,Surat,Cauliflower,Other,FAQ,1000,3250,2125,27 Jul 2020
22,Surat,Surat,Cauliflower,Other,FAQ,1000,3250,2125,24 Jul 2020
23,Surat,Surat,Cauliflower,Other,FAQ,1800,3500,2650,23 Jul 2020
24,Surat,Surat,Cauliflower,Other,FAQ,1200,3500,2350,22 Jul 2020
25,Surat,Surat,Cauliflower,Other,FAQ,2000,3500,2750,21 Jul 2020
26,Surat,Surat,Cauliflower,Other,FAQ,1000,3000,2000,18 Jul 2020
27,Surat,Surat,Cauliflower,Other,FAQ,1200,3000,2100,17 Jul 2020
28,Surat,Surat,Cauliflower,Other,FAQ,1400,3000,2200,16 Jul 2020
29,Surat,Surat,Cauliflower,Other,FAQ,1200,3000,2100,15 Jul 2020
30,Surat,Surat,Cauliflower,Other,FAQ,1600,3000,2300,14 Jul 2020
31,Surat,Surat,Cauliflower,Other,FAQ,1300,2750,2025,11 Jul 2020
32,Surat,Surat,Cauliflower,Other,FAQ,1300,3000,2150,10 Jul 2020
33,Surat,Surat,Cauliflower,Other,FAQ,600,2000,1300,09 Jul 2020
34,Surat,Surat,Cauliflower,Other,FAQ,700,2000,1350,08 Jul 2020
35,Surat,Surat,Cauliflower,Other,FAQ,800,2000,1400,07 Jul 2020
36,Surat,Surat,Cauliflower,Other,FAQ,800,2500,1650,06 Jul 2020
37,Surat,Surat,Cauliflower,Other,FAQ,1300,4000,2650,26 Jun 2020
38,Surat,Surat,Cauliflower,Other,FAQ,1000,3500,2250,25 Jun 2020
39,Surat,Surat,Cauliflower,Other,FAQ,1100,3500,2300,24 Jun 2020
40,Surat,Surat,Cauliflower,Other,FAQ,700,3750,2225,20 Jun 2020
41,Surat,Surat,Cauliflower,Other,FAQ,900,3500,2200,19 Jun 2020
42,Surat,Surat,Cauliflower,Other,FAQ,600,3500,2050,18 Jun 2020
43,Surat,Surat,Cauliflower,Other,FAQ,700,3500,2100,17 Jun 2020
44,Surat,Surat,Cauliflower,Other,FAQ,1250,3750,2500,16 Jun 2020
45,Surat,Surat,Cauliflower,Other,FAQ,800,3500,2150,15 Jun 2020
46,Surat,Surat,Cauliflower,Other,FAQ,800,3250,2025,14 Jun 2020
47,Surat,Surat,Cauliflower,Other,FAQ,1500,3500,2500,12 Jun 2020
48,Surat,Surat,Cauliflower,Other,FAQ,1500,3500,2500,11 Jun 2020
49,Surat,Surat,Cauliflower,Other,FAQ,1500,3250,2375,10 Jun 2020
50,Surat,Surat,Cauliflower,Other,FAQ,1000,3000,2000,08 Jun 2020
51,Surat,Surat,Cauliflower,Other,FAQ,800,2500,1650,07 Jun 2020
52,Surat,Surat,Cauliflower,Other,FAQ,800,2750,1775,06 Jun 2020
53,Surat,Surat,Cauliflower,Other,FAQ,1100,3000,2050,05 Jun 2020
54,Surat,Surat,Cauliflower,Other,FAQ,1000,3000,2000,04 Jun 2020
55,Surat,Surat,Cauliflower,Other,FAQ,700,2500,1600,31 May 2020
56,Surat,Surat,Cauliflower,Other,FAQ,900,2750,1825,30 May 2020
57,Surat,Surat,Cauliflower,Other,FAQ,900,2750,1825,29 May 2020
58,Surat,Surat,Cauliflower,Other,FAQ,600,2500,1550,28 May 2020
59,Surat,Surat,Cauliflower,Other,FAQ,800,2000,1400,27 May 2020
60,Surat,Surat,Cauliflower,Other,FAQ,900,2000,1450,25 May 2020
61,Surat,Surat,Cauliflower,Other,FAQ,800,2100,1450,24 May 2020
62,Surat,Surat,Cauliflower,Other,FAQ,700,2400,1550,23 May 2020
63,Surat,Surat,Cauliflower,Other,FAQ,600,2250,1425,22 May 2020
64,Surat,Surat,Cauliflower,Other,FAQ,500,2100,1300,21 May 2020
65,Surat,Surat,Cauliflower,Other,FAQ,700,1800,1250,20 May 2020
66,Surat,Surat,Cauliflower,Other,FAQ,700,2000,1350,19 May 2020
67,Surat,Surat,Cauliflower,Other,FAQ,800,2000,1400,18 May 2020
68,Surat,Surat,Cauliflower,Other,FAQ,400,1300,850,17 May 2020
69,Surat,Surat,Cauliflower,Other,FAQ,300,1800,1050,16 May 2020
70,Surat,Surat,Cauliflower,Other,FAQ,500,2000,1250,15 May 2020
71,Surat,Surat,Cauliflower,Other,FAQ,600,1800,1200,13 May 2020
72,Surat,Surat,Cauliflower,Other,FAQ,700,1800,1250,07 May 2020
73,Surat,Surat,Cauliflower,Other,FAQ,600,1500,1050,06 May 2020
74,Surat,Surat,Cauliflower,Other,FAQ,400,1500,950,05 May 2020
75,Surat,Surat,Cauliflower,Other,FAQ,500,1300,900,30 Apr 2020
76,Surat,Surat,Cauliflower,Other,FAQ,400,1350,875,29 Apr 2020
77,Surat,Surat,Cauliflower,Other,FAQ,600,1300,950,28 Apr 2020
78,Surat,Surat,Cauliflower,Other,FAQ,400,1400,900,27 Apr 2020
79,Surat,Surat,Cauliflower,Other,FAQ,400,1500,950,26 Apr 2020
80,Surat,Surat,Cauliflower,Other,FAQ,300,1500,900,25 Apr 2020
81,Surat,Surat,Cauliflower,Other,FAQ,400,1300,850,24 Apr 2020
82,Surat,Surat,Cauliflower,Other,FAQ,400,1600,1000,23 Apr 2020
83,Surat,Surat,Cauliflower,Other,FAQ,400,1100,750,22 Apr 2020
84,Surat,Surat,Cauliflower,Other,FAQ,700,1250,975,21 Apr 2020
85,Surat,Surat,Cauliflower,Other,FAQ,400,1400,900,20 Apr 2020
86,Surat,Surat,Cauliflower,Other,FAQ,500,1600,1050,19 Apr 2020
87,Surat,Surat,Cauliflower,Other,FAQ,500,900,700,18 Apr 2020
88,Surat,Surat,Cauliflower,Other,FAQ,700,2000,1350,16 Apr 2020
89,Surat,Surat,Cauliflower,Other,FAQ,600,1500,1050,15 Apr 2020
90,Surat,Surat,Cauliflower,Other,FAQ,500,1600,1050,14 Apr 2020
91,Surat,Surat,Cauliflower,Other,FAQ,600,1500,1050,12 Apr 2020
92,Surat,Surat,Cauliflower,Other,FAQ,500,1400,950,11 Apr 2020
93,Surat,Surat,Cauliflower,Other,FAQ,400,1600,1000,10 Apr 2020
94,Surat,Surat,Cauliflower,Other,FAQ,700,2000,1350,09 Apr 2020
95,Surat,Surat,Cauliflower,Other,FAQ,500,1300,900,04 Apr 2020
96,Surat,Surat,Cauliflower,Other,FAQ,400,800,600,31 Mar 2020
97,Surat,Surat,Cauliflower,Other,FAQ,500,1500,1000,30 Mar 2020
98,Surat,Surat,Cauliflower,Other,FAQ,400,1250,825,29 Mar 2020
99,Surat,Surat,Cauliflower,Other,FAQ,400,1200,800,28 Mar 2020
100,Surat,Surat,Cauliflower,Other,FAQ,300,1000,650,24 Mar 2020
101,Surat,Surat,Cauliflower,Other,FAQ,500,2500,1500,21 Mar 2020
102,Surat,Surat,Cauliflower,Other,FAQ,500,2300,1400,20 Mar 2020
103,Surat,Surat,Cauliflower,Other,FAQ,600,2400,1500,19 Mar 2020
104,Surat,Surat,Cauliflower,Other,FAQ,600,2300,1450,18 Mar 2020
105,Surat,Surat,Cauliflower,Other,FAQ,600,2250,1425,17 Mar 2020
106,Surat,Surat,Cauliflower,Other,FAQ,500,2250,1375,16 Mar 2020
107,Surat,Surat,Cauliflower,Other,FAQ,400,2300,1350,14 Mar 2020
108,Surat,Surat,Cauliflower,Other,FAQ,300,2250,1275,13 Mar 2020
109,Surat,Surat,Cauliflower,Other,FAQ,400,2250,1325,12 Mar 2020
110,Surat,Surat,Cauliflower,Other,FAQ,300,2000,1150,09 Mar 2020
111,Surat,Surat,Cauliflower,Other,FAQ,300,2000,1150,08 Mar 2020
112,Surat,Surat,Cauliflower,Other,FAQ,400,2000,1200,07 Mar 2020
113,Surat,Surat,Cauliflower,Other,FAQ,400,2000,1200,06 Mar 2020
114,Surat,Surat,Cauliflower,Other,FAQ,250,2300,1275,05 Mar 2020
115,Surat,Surat,Cauliflower,Other,FAQ,300,2300,1300,04 Mar 2020
116,Surat,Surat,Cauliflower,Other,FAQ,300,2000,1150,03 Mar 2020
117,Surat,Surat,Cauliflower,Other,FAQ,500,2500,1500,29 Feb 2020
118,Surat,Surat,Cauliflower,Other,FAQ,400,2500,1450,28 Feb 2020
119,Surat,Surat,Cauliflower,Other,FAQ,400,2600,1500,27 Feb 2020
120,Surat,Surat,Cauliflower,Other,FAQ,400,2300,1350,26 Feb 2020
121,Surat,Surat,Cauliflower,Other,FAQ,400,2000,1200,25 Feb 2020
122,Surat,Surat,Cauliflower,Other,FAQ,500,2500,1500,24 Feb 2020
123,Surat,Surat,Cauliflower,Other,FAQ,500,1750,1125,23 Feb 2020
124,Surat,Surat,Cauliflower,Other,FAQ,300,1500,900,22 Feb 2020
