DATE,MODAL
2010-01-01,1625.0
2010-01-02,1425.0
2010-01-03,1462.5
2010-01-04,1500.0
2010-01-05,2125.0
2010-01-06,1750.0
2010-01-07,1375.0
2010-01-08,1150.0
2010-01-09,1191.6666666666667
2010-01-10,1233.3333333333333
2010-01-11,1275.0
2010-01-12,1075.0
2010-01-13,1125.0
2010-01-14,1225.0
2010-01-15,1325.0
2010-01-16,1175.0
2010-01-17,1112.5
2010-01-18,1050.0
2010-01-19,1250.0
2010-01-20,1075.0
2010-01-21,900.0
2010-01-22,950.0
2010-01-23,966.6666666666666
2010-01-24,983.3333333333334
2010-01-25,1000.0
2010-01-26,962.5
2010-01-27,925.0
2010-01-28,750.0
2010-01-29,600.0
2010-01-30,875.0
2010-01-31,837.5
2010-02-01,800.0
2010-02-02,800.0
2010-02-03,700.0
2010-02-04,950.0
2010-02-05,950.0
2010-02-06,1000.0
2010-02-07,925.0
2010-02-08,850.0
2010-02-09,875.0
2010-02-10,900.0
2010-02-11,875.0
2010-02-12,895.8333333333334
2010-02-13,916.6666666666666
2010-02-14,937.5
2010-02-15,958.3333333333334
2010-02-16,979.1666666666666
2010-02-17,1000.0
2010-02-18,950.0
2010-02-19,850.0
2010-02-20,1000.0
2010-02-21,1062.5
2010-02-22,1125.0
2010-02-23,650.0
2010-02-24,825.0
2010-02-25,875.0
2010-02-26,725.0
2010-02-27,743.75
2010-02-28,762.5
2010-03-01,781.25
2010-03-02,800.0
2010-03-03,750.0
2010-03-04,750.0
2010-03-05,750.0
2010-03-06,575.0
2010-03-07,712.5
2010-03-08,850.0
2010-03-09,750.0
2010-03-10,750.0
2010-03-11,800.0
2010-03-12,750.0
2010-03-13,750.0
2010-03-14,750.0
2010-03-15,750.0
2010-03-16,1200.0
2010-03-17,1087.5
2010-03-18,975.0
2010-03-19,1125.0
2010-03-20,1166.6666666666667
2010-03-21,1208.3333333333333
2010-03-22,1250.0
2010-03-23,1050.0
2010-03-24,1125.0
2010-03-25,1200.0
2010-03-26,975.0
2010-03-27,1050.0
2010-03-28,962.5
2010-03-29,875.0
2010-03-30,875.0
2010-03-31,887.5
2010-04-01,900.0
2010-04-02,1125.0
2010-04-03,500.0
2010-04-04,525.0
2010-04-05,550.0
2010-04-06,650.0
2010-04-07,675.0
2010-04-08,625.0
2010-04-09,750.0
2010-04-10,450.0
2010-04-11,516.6666666666666
2010-04-12,583.3333333333334
2010-04-13,650.0
2010-04-14,600.0
2010-04-15,650.0
2010-04-16,650.0
2010-04-17,850.0
2010-04-18,800.0
2010-04-19,750.0
2010-04-20,750.0
2010-04-21,650.0
2010-04-22,800.0
2010-04-23,875.0
2010-04-24,883.3333333333334
2010-04-25,891.6666666666666
2010-04-26,900.0
2010-04-27,2150.0
2010-04-28,1000.0
2010-04-29,1000.0
2010-04-30,1250.0
2010-05-01,1208.3333333333333
2010-05-02,1166.6666666666667
2010-05-03,1125.0
2010-05-04,1250.0
2010-05-05,1150.0
2010-05-06,975.0
2010-05-07,1000.0
2010-05-08,1016.6666666666666
2010-05-09,1033.3333333333333
2010-05-10,1050.0
2010-05-11,1250.0
2010-05-12,1100.0
2010-05-13,1150.0
2010-05-14,1100.0
2010-05-15,1150.0
2010-05-16,1150.0
2010-05-17,1150.0
2010-05-18,1225.0
2010-05-19,1300.0
2010-05-20,1200.0
2010-05-21,950.0
2010-05-22,900.0
2010-05-23,850.0
2010-05-24,800.0
2010-05-25,750.0
2010-05-26,600.0
2010-05-27,450.0
2010-05-28,250.0
2010-05-29,750.0
2010-05-30,812.5
2010-05-31,875.0
2010-06-01,750.0
2010-06-02,950.0
2010-06-03,750.0
2010-06-04,750.0
2010-06-05,750.0
2010-06-06,850.0
2010-06-07,950.0
2010-06-08,850.0
2010-06-09,950.0
2010-06-10,1050.0
2010-06-11,925.0
2010-06-12,933.3333333333334
2010-06-13,941.6666666666666
2010-06-14,950.0
2010-06-15,900.0
2010-06-16,925.0
2010-06-17,837.5
2010-06-18,750.0
2010-06-19,800.0
2010-06-20,950.0
2010-06-21,1100.0
2010-06-22,900.0
2010-06-23,900.0
2010-06-24,1150.0
2010-06-25,1200.0
2010-06-26,1200.0
2010-06-27,1200.0
2010-06-28,1200.0
2010-06-29,1150.0
2010-06-30,1625.0
2010-07-01,1100.0
2010-07-02,1050.0
2010-07-03,1250.0
2010-07-04,1125.0
2010-07-05,1000.0
2010-07-06,1000.0
2010-07-07,1250.0
2010-07-08,1125.0
2010-07-09,900.0
2010-07-10,916.6666666666666
2010-07-11,933.3333333333334
2010-07-12,950.0
2010-07-13,1100.0
2010-07-14,800.0
2010-07-15,875.0
2010-07-16,750.0
2010-07-17,750.0
2010-07-18,775.0
2010-07-19,800.0
2010-07-20,700.0
