,DATE,MODAL
0,2002-08-26,675.0
1,2002-09-04,500.0
2,2003-01-23,1175.0
3,2003-01-24,950.0
4,2003-01-27,950.0
5,2003-01-28,850.0
6,2003-01-29,950.0
7,2003-01-30,825.0
8,2003-02-10,850.0
9,2003-02-11,800.0
10,2003-02-13,700.0
11,2003-02-14,750.0
12,2003-02-15,1250.0
13,2003-02-17,750.0
14,2003-02-18,700.0
15,2003-02-19,775.0
16,2003-02-20,850.0
17,2003-02-21,650.0
18,2003-02-24,650.0
19,2003-02-25,500.0
20,2003-02-26,650.0
21,2003-02-27,650.0
22,2003-03-03,850.0
23,2003-03-04,850.0
24,2003-03-05,700.0
25,2003-03-06,950.0
26,2003-03-07,950.0
27,2003-03-10,850.0
28,2003-03-11,800.0
29,2003-03-13,1200.0
30,2003-03-17,800.0
31,2003-03-20,775.0
32,2003-03-21,700.0
33,2003-03-24,650.0
34,2003-03-25,675.0
35,2003-03-26,550.0
36,2003-03-27,600.0
37,2003-03-28,650.0
38,2003-03-29,650.0
39,2003-03-31,650.0
40,2003-04-01,575.0
41,2003-04-02,650.0
42,2003-04-04,1400.0
43,2003-04-07,1500.0
44,2003-04-08,1400.0
45,2003-04-09,1200.0
46,2003-04-10,1220.0
47,2003-04-16,1375.0
48,2003-04-17,1750.0
49,2003-04-19,27500.0
50,2003-04-21,2625.0
51,2003-04-22,2625.0
52,2003-04-23,2375.0
53,2003-04-24,2500.0
54,2003-04-25,2250.0
55,2003-04-28,2250.0
56,2003-04-30,2200.0
57,2003-05-01,2250.0
58,2003-05-02,2150.0
59,2003-05-03,2150.0
60,2003-05-05,2325.0
61,2003-05-06,2150.0
62,2003-05-07,2050.0
63,2003-05-08,2125.0
64,2003-05-09,2150.0
65,2003-05-19,2125.0
66,2003-05-20,2375.0
67,2003-05-21,2250.0
68,2003-05-22,2625.0
69,2003-05-23,2375.0
70,2003-05-26,2625.0
71,2003-05-28,2250.0
72,2003-05-29,2625.0
73,2003-05-30,2375.0
74,2003-05-31,2375.0
75,2003-06-05,2375.0
