,DATE,MODAL
0,2010-01-01,2875.0
1,2010-01-02,2875.0
2,2010-01-03,3000.0
3,2010-01-04,2875.0
4,2010-01-05,2875.0
5,2010-01-06,2875.0
6,2010-01-07,2875.0
7,2010-01-08,2750.0
8,2010-01-09,2775.0
9,2010-01-10,2800.0
10,2010-01-11,2825.0
11,2010-01-12,2850.0
12,2010-01-13,2875.0
13,2010-01-14,2900.0
14,2010-01-15,2925.0
15,2010-01-16,2950.0
16,2010-01-17,2975.0
17,2010-01-18,3000.0
18,2010-01-19,3025.0
19,2010-01-20,3050.0
20,2010-01-21,3075.0
21,2010-01-22,3100.0
22,2010-01-23,3125.0
23,2010-01-24,3150.0
24,2010-01-25,3175.0
25,2010-01-26,3200.0
26,2010-01-27,3225.0
27,2010-01-28,3250.0
28,2010-01-29,3187.5
29,2010-01-30,3125.0
30,2010-01-31,3125.0
31,2010-02-01,3125.0
32,2010-02-02,3300.0
33,2010-02-03,3256.25
34,2010-02-04,3212.5
35,2010-02-05,3168.75
36,2010-02-06,3125.0
37,2010-02-07,3250.0
38,2010-02-08,3375.0
39,2010-02-09,2875.0
40,2010-02-10,3144.7916666666665
41,2010-02-11,3375.0
42,2010-02-12,3250.0
43,2010-02-13,3125.0
44,2010-02-14,3000.0
45,2010-02-15,2875.0
46,2010-02-16,3182.2916666666665
47,2010-02-17,3166.6666666666665
48,2010-02-18,2875.0
49,2010-02-19,3125.0
50,2010-02-20,3125.0
51,2010-02-21,3125.0
52,2010-02-22,3125.0
53,2010-02-23,3125.0
54,2010-02-24,3125.0
55,2010-02-25,3000.0
56,2010-02-26,2625.0
57,2010-02-27,2720.0
58,2010-02-28,2815.0
59,2010-03-01,2910.0
60,2010-03-02,3005.0
61,2010-03-03,3100.0
62,2010-03-04,2750.0
63,2010-03-05,3125.0
64,2010-03-06,3375.0
65,2010-03-07,3250.0
66,2010-03-08,3125.0
67,2010-03-09,3125.0
68,2010-03-10,3125.0
69,2010-03-11,3050.0
70,2010-03-12,2825.0
71,2010-03-13,2900.0
72,2010-03-14,2975.0
73,2010-03-15,3050.0
74,2010-03-16,2775.0
75,2010-03-17,2575.0
76,2010-03-18,2982.2916666666665
77,2010-03-19,2951.0416666666665
78,2010-03-20,2316.6666666666665
79,2010-03-21,2383.3333333333335
80,2010-03-22,2450.0
81,2010-03-23,2325.0
82,2010-03-24,2200.0
83,2010-03-25,2075.0
84,2010-03-26,2325.0
85,2010-03-27,2300.0
86,2010-03-28,2200.0
87,2010-03-29,2100.0
88,2010-03-30,2025.0
89,2010-03-31,2112.5
90,2010-04-01,2200.0
91,2010-04-02,2350.0
92,2010-04-03,2300.0
93,2010-04-04,2325.0
94,2010-04-05,2350.0
95,2010-04-06,2350.0
