DATE,MODAL
2010-01-01,2875.0
2010-01-02,3125.0
2010-01-03,3000.0
2010-01-04,2875.0
2010-01-05,2875.0
2010-01-06,2875.0
2010-01-07,2875.0
2010-01-08,2750.0
2010-01-09,2775.0
2010-01-10,2800.0
2010-01-11,2825.0
2010-01-12,2850.0
2010-01-13,2875.0
2010-01-14,2900.0
2010-01-15,2925.0
2010-01-16,2950.0
2010-01-17,2975.0
2010-01-18,3000.0
2010-01-19,3025.0
2010-01-20,3050.0
2010-01-21,3075.0
2010-01-22,3100.0
2010-01-23,3125.0
2010-01-24,3150.0
2010-01-25,3175.0
2010-01-26,3200.0
2010-01-27,3225.0
2010-01-28,3250.0
2010-01-29,3187.5
2010-01-30,3125.0
2010-01-31,3125.0
2010-02-01,3125.0
2010-02-02,3300.0
2010-02-03,3256.25
2010-02-04,3212.5
2010-02-05,3168.75
2010-02-06,3125.0
2010-02-07,3250.0
2010-02-08,3375.0
2010-02-09,2875.0
2010-02-10,3500.0
2010-02-11,3375.0
2010-02-12,3250.0
2010-02-13,3125.0
2010-02-14,3000.0
2010-02-15,2875.0
2010-02-16,2750.0
2010-02-17,2625.0
2010-02-18,2875.0
2010-02-19,3125.0
2010-02-20,3125.0
2010-02-21,3125.0
2010-02-22,3125.0
2010-02-23,3125.0
2010-02-24,3125.0
2010-02-25,3000.0
2010-02-26,2625.0
2010-02-27,2720.0
2010-02-28,2815.0
2010-03-01,2910.0
2010-03-02,3005.0
2010-03-03,3100.0
2010-03-04,2750.0
2010-03-05,3125.0
2010-03-06,3375.0
2010-03-07,3250.0
2010-03-08,3125.0
2010-03-09,3125.0
2010-03-10,3125.0
2010-03-11,3050.0
2010-03-12,2825.0
2010-03-13,2900.0
2010-03-14,2975.0
2010-03-15,3050.0
2010-03-16,2775.0
2010-03-17,2575.0
2010-03-18,2375.0
2010-03-19,2250.0
2010-03-20,2316.6666666666665
2010-03-21,2383.3333333333335
2010-03-22,2450.0
2010-03-23,2325.0
2010-03-24,2200.0
2010-03-25,2075.0
2010-03-26,2325.0
2010-03-27,2300.0
2010-03-28,2200.0
2010-03-29,2100.0
2010-03-30,2025.0
2010-03-31,2112.5
2010-04-01,2200.0
2010-04-02,2350.0
2010-04-03,2300.0
2010-04-04,2325.0
2010-04-05,2350.0
2010-04-06,2350.0
2010-04-07,2400.0
2010-04-08,2550.0
2010-04-09,2375.0
2010-04-10,2550.0
2010-04-11,2483.3333333333335
2010-04-12,2416.6666666666665
2010-04-13,2350.0
2010-04-14,2325.0
2010-04-15,2250.0
2010-04-16,2175.0
2010-04-17,1875.0
2010-04-18,1962.5
2010-04-19,2050.0
2010-04-20,2100.0
2010-04-21,2175.0
2010-04-22,2200.0
2010-04-23,2200.0
2010-04-24,2283.3333333333335
2010-04-25,2366.6666666666665
2010-04-26,2450.0
2010-04-27,2675.0
2010-04-28,2550.0
2010-04-29,2550.0
2010-04-30,2500.0
2010-05-01,2550.0
2010-05-02,2600.0
2010-05-03,2650.0
2010-05-04,2600.0
2010-05-05,2350.0
2010-05-06,2200.0
2010-05-07,2050.0
2010-05-08,2091.6666666666665
2010-05-09,2133.3333333333335
2010-05-10,2175.0
2010-05-11,2225.0
2010-05-12,2225.0
2010-05-13,2225.0
2010-05-14,2125.0
2010-05-15,2075.0
2010-05-16,1975.0
2010-05-17,1875.0
2010-05-18,1712.5
2010-05-19,1550.0
2010-05-20,1600.0
2010-05-21,1500.0
2010-05-22,1500.0
2010-05-23,1500.0
2010-05-24,1500.0
2010-05-25,1600.0
2010-05-26,1650.0
2010-05-27,1700.0
2010-05-28,1875.0
2010-05-29,1950.0
2010-05-30,2250.0
2010-05-31,2550.0
2010-06-01,2500.0
2010-06-02,2550.0
2010-06-03,2500.0
2010-06-04,2500.0
2010-06-05,2800.0
2010-06-06,2775.0
2010-06-07,2750.0
2010-06-08,2775.0
2010-06-09,2725.0
2010-06-10,2675.0
2010-06-11,2650.0
2010-06-12,2516.6666666666665
2010-06-13,2383.3333333333335
2010-06-14,2250.0
2010-06-15,1950.0
2010-06-16,2150.0
2010-06-17,2050.0
2010-06-18,1950.0
2010-06-19,2050.0
2010-06-20,2050.0
2010-06-21,2050.0
2010-06-22,1975.0
2010-06-23,1950.0
2010-06-24,1875.0
2010-06-25,1850.0
2010-06-26,1883.3333333333333
2010-06-27,1916.6666666666667
2010-06-28,1950.0
2010-06-29,1950.0
2010-06-30,1725.0
2010-07-01,1550.0
2010-07-02,1625.0
2010-07-03,1575.0
2010-07-04,1375.0
2010-07-05,1175.0
2010-07-06,1250.0
2010-07-07,1100.0
2010-07-08,1100.0
2010-07-09,1050.0
2010-07-10,1083.3333333333333
2010-07-11,1116.6666666666667
2010-07-12,1150.0
2010-07-13,1325.0
2010-07-14,1350.0
2010-07-15,1175.0
2010-07-16,1050.0
2010-07-17,1150.0
2010-07-18,1137.5
2010-07-19,1125.0
2010-07-20,950.0
2010-07-21,850.0
2010-07-22,825.0
2010-07-23,825.0
2010-07-24,858.3333333333334
2010-07-25,891.6666666666666
2010-07-26,925.0
2010-07-27,982.1428571428571
2010-07-28,1039.2857142857142
2010-07-29,1096.4285714285716
2010-07-30,1153.5714285714287
2010-07-31,1210.7142857142858
2010-08-01,1267.857142857143
2010-08-02,1325.0
2010-08-03,1450.0
2010-08-04,1475.0
2010-08-05,1650.0
2010-08-06,1550.0
2010-08-07,1950.0
2010-08-08,1900.0
2010-08-09,1850.0
2010-08-10,1900.0
2010-08-11,1950.0
2010-08-12,2100.0
2010-08-13,2125.0
2010-08-14,2108.3333333333335
2010-08-15,2091.6666666666665
2010-08-16,2075.0
2010-08-17,2500.0
2010-08-18,1850.0
2010-08-19,1675.0
2010-08-20,1681.25
2010-08-21,1687.5
2010-08-22,1693.75
2010-08-23,1700.0
2010-08-24,2037.5
2010-08-25,2375.0
2010-08-26,1925.0
2010-08-27,1850.0
2010-08-28,1766.6666666666667
2010-08-29,1683.3333333333333
2010-08-30,1600.0
2010-08-31,1625.0
2010-09-01,1650.0
2010-09-02,1600.0
2010-09-03,1550.0
2010-09-04,1950.0
2010-09-05,2037.5
2010-09-06,2125.0
2010-09-07,2062.5
2010-09-08,2000.0
