DATE,MODAL
2010-01-01,650.0
2010-01-02,800.0
2010-01-03,825.0
2010-01-04,850.0
2010-01-05,700.0
2010-01-06,737.5
2010-01-07,775.0
2010-01-08,900.0
2010-01-09,850.0
2010-01-10,800.0
2010-01-11,750.0
2010-01-12,900.0
2010-01-13,900.0
2010-01-14,950.0
2010-01-15,1000.0
2010-01-16,1000.0
2010-01-17,950.0
2010-01-18,900.0
2010-01-19,800.0
2010-01-20,875.0
2010-01-21,950.0
2010-01-22,900.0
2010-01-23,916.6666666666666
2010-01-24,933.3333333333334
2010-01-25,950.0
2010-01-26,900.0
2010-01-27,850.0
2010-01-28,900.0
2010-01-29,1000.0
2010-01-30,850.0
2010-01-31,825.0
2010-02-01,800.0
2010-02-02,750.0
2010-02-03,675.0
2010-02-04,650.0
2010-02-05,600.0
2010-02-06,600.0
2010-02-07,600.0
2010-02-08,600.0
2010-02-09,500.0
2010-02-10,600.0
2010-02-11,500.0
2010-02-12,487.5
2010-02-13,475.0
2010-02-14,462.5
2010-02-15,450.0
2010-02-16,437.5
2010-02-17,425.0
2010-02-18,600.0
2010-02-19,625.0
2010-02-20,550.0
2010-02-21,525.0
2010-02-22,500.0
2010-02-23,500.0
2010-02-24,625.0
2010-02-25,550.0
2010-02-26,550.0
2010-02-27,537.5
2010-02-28,525.0
2010-03-01,512.5
2010-03-02,500.0
2010-03-03,600.0
2010-03-04,350.0
2010-03-05,375.0
2010-03-06,375.0
2010-03-07,375.0
2010-03-08,375.0
2010-03-09,287.0
2010-03-10,275.0
2010-03-11,250.0
2010-03-12,275.0
2010-03-13,308.3333333333333
2010-03-14,341.6666666666667
2010-03-15,375.0
2010-03-16,325.0
2010-03-17,362.5
2010-03-18,400.0
2010-03-19,375.0
2010-03-20,375.0
2010-03-21,375.0
2010-03-22,375.0
2010-03-23,350.0
2010-03-24,350.0
2010-03-25,350.0
2010-03-26,400.0
2010-03-27,350.0
2010-03-28,350.0
2010-03-29,350.0
2010-03-30,350.0
2010-03-31,300.0
2010-04-01,250.0
2010-04-02,300.0
2010-04-03,300.0
2010-04-04,300.0
2010-04-05,300.0
2010-04-06,400.0
2010-04-07,350.0
2010-04-08,350.0
2010-04-09,400.0
2010-04-10,425.0
2010-04-11,375.0
2010-04-12,325.0
2010-04-13,275.0
2010-04-14,325.0
2010-04-15,375.0
2010-04-16,425.0
2010-04-17,425.0
2010-04-18,462.5
2010-04-19,500.0
2010-04-20,450.0
2010-04-21,400.0
2010-04-22,325.0
2010-04-23,375.0
2010-04-24,383.3333333333333
2010-04-25,391.6666666666667
2010-04-26,400.0
2010-04-27,475.0
2010-04-28,525.0
2010-04-29,475.0
2010-04-30,500.0
2010-05-01,508.3333333333333
2010-05-02,516.6666666666666
2010-05-03,525.0
2010-05-04,450.0
2010-05-05,450.0
2010-05-06,375.0
2010-05-07,400.0
2010-05-08,466.6666666666667
2010-05-09,533.3333333333334
2010-05-10,600.0
2010-05-11,625.0
2010-05-12,550.0
2010-05-13,500.0
2010-05-14,500.0
2010-05-15,650.0
2010-05-16,700.0
2010-05-17,750.0
2010-05-18,525.0
2010-05-19,300.0
2010-05-20,500.0
2010-05-21,400.0
2010-05-22,441.6666666666667
2010-05-23,483.3333333333333
2010-05-24,525.0
2010-05-25,550.0
2010-05-26,437.5
2010-05-27,325.0
2010-05-28,350.0
2010-05-29,500.0
2010-05-30,575.0
2010-05-31,650.0
2010-06-01,575.0
2010-06-02,600.0
2010-06-03,700.0
2010-06-04,675.0
2010-06-05,775.0
2010-06-06,912.5
2010-06-07,1050.0
2010-06-08,1050.0
2010-06-09,1075.0
2010-06-10,1100.0
2010-06-11,1075.0
2010-06-12,1083.3333333333333
2010-06-13,1091.6666666666667
2010-06-14,1100.0
2010-06-15,1250.0
2010-06-16,550.0
2010-06-17,750.0
2010-06-18,950.0
2010-06-19,775.0
2010-06-20,1012.5
2010-06-21,1250.0
2010-06-22,1250.0
2010-06-23,650.0
2010-06-24,1125.0
2010-06-25,1150.0
2010-06-26,1183.3333333333333
2010-06-27,1216.6666666666667
2010-06-28,1250.0
2010-06-29,1625.0
2010-06-30,1500.0
2010-07-01,1550.0
2010-07-02,1625.0
2010-07-03,1875.0
2010-07-04,1812.5
2010-07-05,1750.0
2010-07-06,1375.0
2010-07-07,1750.0
2010-07-08,1550.0
2010-07-09,1625.0
2010-07-10,1625.0
2010-07-11,1625.0
2010-07-12,1625.0
2010-07-13,1675.0
2010-07-14,1750.0
2010-07-15,1750.0
2010-07-16,1675.0
2010-07-17,1500.0
2010-07-18,1562.5
2010-07-19,1625.0
2010-07-20,1625.0
2010-07-21,1500.0
2010-07-22,1450.0
2010-07-23,1375.0
2010-07-24,1375.0
2010-07-25,1375.0
2010-07-26,1375.0
2010-07-27,1321.4285714285713
2010-07-28,1267.857142857143
2010-07-29,1214.2857142857142
2010-07-30,1160.7142857142858
2010-07-31,1107.142857142857
2010-08-01,1053.5714285714284
2010-08-02,1000.0
2010-08-03,800.0
2010-08-04,700.0
2010-08-05,575.0
2010-08-06,650.0
2010-08-07,600.0
2010-08-08,612.5
2010-08-09,625.0
2010-08-10,787.5
2010-08-11,950.0
2010-08-12,850.0
2010-08-13,850.0
