date,sunHour,uvIndex,tempC,windspeedKmph,winddirDegree,winddir16Point,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph
2010-01-01,10.9,6,27,10,167,SSE,0.0,47,10,1013,6,27,13,26,15
2010-01-02,10.9,7,28,9,180,S,0.0,56,10,1014,17,28,17,27,14
2010-01-03,10.9,6,26,10,225,SW,0.0,62,10,1015,33,26,17,25,15
2010-01-04,10.9,6,26,15,147,SSE,0.0,54,10,1015,0,26,14,24,20
2010-01-05,10.9,6,26,15,72,ENE,0.0,46,10,1012,0,26,12,25,22
2010-01-06,11.0,7,27,14,130,SE,0.0,40,10,1012,2,27,12,26,22
2010-01-07,11.0,7,27,11,127,SE,0.0,41,10,1013,6,27,12,26,17
2010-01-08,11.0,7,27,12,162,SSE,0.0,41,10,1013,6,27,12,26,18
2010-01-09,11.0,7,26,15,121,ESE,0.0,40,10,1013,8,26,11,26,23
2010-01-10,11.0,7,26,17,155,SSE,0.0,41,10,1013,9,26,11,26,26
2010-01-11,11.0,7,27,11,93,E,0.0,50,10,1013,23,27,15,26,17
2010-01-12,11.0,7,28,9,263,W,0.0,62,10,1014,5,28,18,27,13
2010-01-13,11.0,6,24,15,181,S,0.0,41,10,1017,2,24,9,23,22
2010-01-14,11.0,6,23,16,32,NNE,0.0,38,10,1018,0,23,8,24,25
2010-01-15,11.0,6,26,14,83,E,0.0,41,10,1018,4,26,11,26,21
2010-01-16,11.0,7,28,11,151,SSE,0.0,47,10,1019,2,28,14,27,16
2010-01-17,11.0,6,27,10,129,SE,0.0,50,10,1018,12,27,15,26,14
2010-01-18,11.0,6,27,11,180,S,0.0,48,10,1017,1,27,15,27,16
2010-01-19,11.0,7,27,10,144,SE,0.0,43,10,1015,3,27,13,27,15
2010-01-20,11.0,7,27,10,162,SSE,0.0,38,10,1016,4,27,11,27,15
2010-01-21,11.0,7,27,12,165,SSE,0.0,37,10,1016,5,27,10,26,19
2010-01-22,11.0,6,27,8,182,S,0.0,41,10,1015,4,27,12,27,12
2010-01-23,11.1,6,28,6,199,SSW,0.0,46,10,1015,0,28,14,27,8
2010-01-24,11.1,6,27,9,243,WSW,0.0,46,10,1014,1,27,14,27,12
2010-01-25,11.1,7,26,13,110,ESE,0.0,35,10,1014,2,26,9,26,20
2010-01-26,11.1,7,27,10,144,SE,0.0,38,10,1015,3,27,11,27,16
2010-01-27,11.1,7,27,7,179,S,0.0,44,10,1015,8,27,13,27,11
2010-01-28,11.1,6,27,6,195,SSW,0.0,46,10,1015,7,27,13,26,9
2010-01-29,11.1,6,27,11,215,SW,0.0,44,10,1015,1,27,13,26,16
2010-01-30,11.1,7,27,9,148,SSE,0.0,41,10,1015,5,27,12,27,14
2010-01-31,11.1,6,27,6,209,SSW,0.0,48,10,1015,5,27,14,27,10
2010-02-01,11.1,6,27,7,254,WSW,0.0,53,10,1014,5,27,15,26,11
2010-02-02,11.1,6,27,6,254,WSW,0.0,54,10,1013,1,27,16,26,9
2010-02-03,11.2,6,28,8,214,SW,0.0,51,10,1013,1,28,16,27,11
2010-02-04,11.2,6,28,8,230,SW,0.0,62,10,1014,2,28,18,26,11
2010-02-05,11.2,6,28,6,193,SSW,0.0,63,10,1014,3,28,18,26,7
2010-02-06,11.2,7,29,7,194,SSW,0.0,52,10,1014,10,29,17,28,11
2010-02-07,11.2,7,30,8,161,SSE,0.0,45,10,1014,7,30,16,29,13
2010-02-08,11.2,7,28,11,261,W,0.0,56,10,1012,13,28,17,27,17
2010-02-09,11.2,6,28,10,269,W,0.0,64,10,1012,5,28,18,26,15
2010-02-10,11.2,6,26,11,305,NW,0.0,55,10,1012,7,26,15,25,15
2010-02-11,11.2,6,27,7,207,SSW,0.0,52,10,1013,13,27,15,26,10
2010-02-12,11.2,6,27,9,220,SW,0.0,51,10,1014,0,27,15,26,12
2010-02-13,11.3,6,26,9,241,WSW,0.0,45,10,1013,2,26,12,25,14
2010-02-14,11.3,6,24,9,243,WSW,0.0,39,10,1012,8,24,9,24,14
2010-02-15,11.3,6,25,10,175,S,0.0,36,10,1012,21,25,8,25,17
2010-02-16,11.3,7,26,12,180,S,0.0,31,10,1013,23,26,7,26,18
2010-02-17,11.3,7,26,15,138,SE,0.0,31,10,1014,15,26,8,26,25
2010-02-18,11.3,7,26,11,128,SE,0.0,33,10,1014,10,26,9,26,18
2010-02-19,11.3,6,27,10,199,SSW,0.0,34,10,1014,0,27,9,27,15
2010-02-20,11.3,7,29,6,233,SW,0.0,39,10,1014,0,29,12,29,8
2010-02-21,11.3,7,28,6,205,SSW,0.0,43,10,1013,19,28,13,27,11
2010-02-22,11.4,7,28,9,231,SW,0.0,46,10,1013,28,28,14,27,14
2010-02-23,11.4,7,28,11,266,W,0.0,54,10,1012,1,28,17,27,15
2010-02-24,11.4,6,27,12,270,W,0.0,58,10,1011,0,27,16,25,15
2010-02-25,11.4,6,29,8,223,SW,0.0,61,10,1012,0,29,18,27,10
2010-02-26,11.4,7,30,8,199,SSW,0.0,50,10,1012,0,30,16,29,12
2010-02-27,11.4,7,31,7,214,SSW,0.0,38,10,1012,0,31,14,30,10
2010-02-28,11.4,7,29,8,224,SW,0.0,37,10,1012,26,29,12,29,13
2010-03-01,11.6,7,29,7,266,W,0.0,39,10,1013,5,29,13,29,12
2010-03-02,11.6,7,28,10,282,WNW,0.0,45,10,1012,14,28,14,28,16
2010-03-03,11.6,7,28,11,228,SW,0.0,52,10,1011,23,28,16,27,17
2010-03-04,11.6,7,28,10,250,WSW,0.0,60,10,1011,6,28,18,27,14
2010-03-05,11.6,7,29,9,241,WSW,0.0,61,10,1011,4,29,19,27,14
2010-03-06,11.6,7,29,11,243,WSW,0.0,64,10,1013,5,29,20,27,16
2010-03-07,11.6,6,26,10,285,WNW,0.0,54,10,1014,11,26,15,25,14
2010-03-08,11.6,7,28,8,322,NW,0.0,48,10,1013,6,28,15,27,13
2010-03-09,11.6,7,30,11,169,S,0.0,35,10,1013,3,30,12,30,20
2010-03-10,11.6,7,30,11,121,ESE,0.0,36,10,1013,13,30,13,30,18
2010-03-11,11.6,7,31,7,225,SW,0.0,46,10,1014,13,31,17,30,11
2010-03-12,11.6,7,31,7,237,WSW,0.0,43,10,1015,12,31,16,31,12
2010-03-13,11.6,7,31,10,209,SSW,0.0,35,10,1013,0,31,13,31,16
2010-03-14,11.6,7,31,11,253,WSW,0.0,45,10,1012,0,31,16,30,17
2010-03-15,11.6,7,30,12,215,SW,0.0,51,10,1011,0,30,18,29,17
2010-03-16,11.6,7,33,9,225,SW,0.0,53,10,1011,0,33,19,31,13
