,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Surat,Surat,Potato,Other,FAQ,2350,3750,3050,30 Oct 2020
1,Surat,Surat,Potato,Other,FAQ,2400,3750,3075,29 Oct 2020
2,Surat,Surat,Potato,Other,FAQ,2300,3800,3050,28 Oct 2020
3,Surat,Surat,Potato,Other,FAQ,2300,3750,3025,27 Oct 2020
4,Surat,Surat,Potato,Other,FAQ,2300,3750,3025,26 Oct 2020
5,Surat,Surat,Potato,Other,FAQ,2300,3750,3025,25 Oct 2020
6,Surat,Surat,Potato,Other,FAQ,2300,3750,3025,24 Oct 2020
7,Surat,Surat,Potato,Other,FAQ,2350,3750,3050,23 Oct 2020
8,Surat,Surat,Potato,Other,FAQ,2400,3700,3050,22 Oct 2020
9,Surat,Surat,Potato,Other,FAQ,2500,3750,3125,21 Oct 2020
10,Surat,Surat,Potato,Other,FAQ,2500,3650,3075,20 Oct 2020
11,Surat,Surat,Potato,Other,FAQ,2400,3600,3000,19 Oct 2020
12,Surat,Surat,Potato,Other,FAQ,2300,3550,2925,18 Oct 2020
13,Surat,Surat,Potato,Other,FAQ,2350,3500,2925,17 Oct 2020
14,Surat,Surat,Potato,Other,FAQ,2350,3400,2875,16 Oct 2020
15,Surat,Surat,Potato,Other,FAQ,2300,3300,2800,15 Oct 2020
16,Surat,Surat,Potato,Other,FAQ,2300,3275,2787,14 Oct 2020
17,Surat,Surat,Potato,Other,FAQ,2350,3275,2812,13 Oct 2020
18,Surat,Surat,Potato,Other,FAQ,2350,3275,2812,12 Oct 2020
19,Surat,Surat,Potato,Other,FAQ,2300,3100,2700,10 Oct 2020
20,Surat,Surat,Potato,Other,FAQ,2250,3100,2675,09 Oct 2020
21,Surat,Surat,Potato,Other,FAQ,2250,3100,2675,08 Oct 2020
22,Surat,Surat,Potato,Other,FAQ,2250,3100,2675,07 Oct 2020
23,Surat,Surat,Potato,Other,FAQ,2250,3100,2675,06 Oct 2020
24,Surat,Surat,Potato,Other,FAQ,2200,3000,2600,05 Oct 2020
25,Surat,Surat,Potato,Other,FAQ,2200,3000,2600,03 Oct 2020
26,Surat,Surat,Potato,Other,FAQ,2200,2975,2587,02 Oct 2020
27,Surat,Surat,Potato,Other,FAQ,1900,3050,2475,31 Aug 2020
28,Surat,Surat,Potato,Other,FAQ,1800,3000,2400,29 Aug 2020
29,Surat,Surat,Potato,Other,FAQ,1800,3000,2400,28 Aug 2020
30,Surat,Surat,Potato,Other,FAQ,1900,2850,2375,27 Aug 2020
31,Surat,Surat,Potato,Other,FAQ,1900,2875,2387,26 Aug 2020
32,Surat,Surat,Potato,Other,FAQ,1800,2850,2325,25 Aug 2020
33,Surat,Surat,Potato,Other,FAQ,1800,2800,2300,24 Aug 2020
34,Surat,Surat,Potato,Other,FAQ,1800,2825,2312.5,21 Aug 2020
35,Surat,Surat,Potato,Other,FAQ,1900,2800,2350,20 Aug 2020
36,Surat,Surat,Potato,Other,FAQ,1900,2800,2350,19 Aug 2020
37,Surat,Surat,Potato,Other,FAQ,1900,2825,2362,18 Aug 2020
38,Surat,Surat,Potato,Other,FAQ,1900,2800,2350,17 Aug 2020
39,Surat,Surat,Potato,Other,FAQ,1850,2750,2300,14 Aug 2020
40,Surat,Surat,Potato,Other,FAQ,1900,2600,2250,13 Aug 2020
41,Surat,Surat,Potato,Other,FAQ,1900,2650,2275,11 Aug 2020
42,Surat,Surat,Potato,Other,FAQ,1900,2650,2275,10 Aug 2020
43,Surat,Surat,Potato,Other,FAQ,1900,2600,2250,09 Aug 2020
44,Surat,Surat,Potato,Other,FAQ,1800,2400,2100,31 Jul 2020
45,Surat,Surat,Potato,Other,FAQ,1750,2350,2050,30 Jul 2020
46,Surat,Surat,Potato,Other,FAQ,1800,2350,2075,29 Jul 2020
47,Surat,Surat,Potato,Other,FAQ,1800,2375,2087,28 Jul 2020
48,Surat,Surat,Potato,Other,FAQ,1300,2375,1837,27 Jul 2020
49,Surat,Surat,Potato,Other,FAQ,1750,2450,2100,24 Jul 2020
50,Surat,Surat,Potato,Other,FAQ,1750,2450,2100,23 Jul 2020
51,Surat,Surat,Potato,Other,FAQ,1750,2450,2100,22 Jul 2020
52,Surat,Surat,Potato,Other,FAQ,1750,2400,2075,21 Jul 2020
53,Surat,Surat,Potato,Other,FAQ,1400,2350,1875,18 Jul 2020
54,Surat,Surat,Potato,Other,FAQ,1350,2350,1850,17 Jul 2020
55,Surat,Surat,Potato,Other,FAQ,1500,2350,1925,16 Jul 2020
56,Surat,Surat,Potato,Other,FAQ,1400,2350,1875,15 Jul 2020
57,Surat,Surat,Potato,Other,FAQ,1400,2350,1875,14 Jul 2020
58,Surat,Surat,Potato,Other,FAQ,1400,2375,1887,11 Jul 2020
59,Surat,Surat,Potato,Other,FAQ,1400,2375,1887.5,10 Jul 2020
60,Surat,Surat,Potato,Other,FAQ,1100,2300,1700,09 Jul 2020
