,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Surat,Surat,Tomato,Other,FAQ,750,3000,1875,30 Oct 2020
1,Surat,Surat,Tomato,Other,FAQ,1250,3250,2250,29 Oct 2020
2,Surat,Surat,Tomato,Other,FAQ,1000,3750,2375,28 Oct 2020
3,Surat,Surat,Tomato,Other,FAQ,1200,3500,2350,27 Oct 2020
4,Surat,Surat,Tomato,Other,FAQ,1250,3250,2250,26 Oct 2020
5,Surat,Surat,Tomato,Other,FAQ,1100,3000,2050,25 Oct 2020
6,Surat,Surat,Tomato,Other,FAQ,800,3750,2275,24 Oct 2020
7,Surat,Surat,Tomato,Other,FAQ,800,3250,2025,23 Oct 2020
8,Surat,Surat,Tomato,Other,FAQ,600,3250,1925,22 Oct 2020
9,Surat,Surat,Tomato,Other,FAQ,600,3500,2050,21 Oct 2020
10,Surat,Surat,Tomato,Other,FAQ,1100,4000,2550,20 Oct 2020
11,Surat,Surat,Tomato,Other,FAQ,1000,3700,2350,19 Oct 2020
12,Surat,Surat,Tomato,Other,FAQ,900,3500,2200,18 Oct 2020
13,Surat,Surat,Tomato,Other,FAQ,900,3250,2075,17 Oct 2020
14,Surat,Surat,Tomato,Other,FAQ,900,3100,2000,16 Oct 2020
15,Surat,Surat,Tomato,Other,FAQ,700,3200,1950,15 Oct 2020
16,Surat,Surat,Tomato,Other,FAQ,800,3000,1900,14 Oct 2020
17,Surat,Surat,Tomato,Other,FAQ,1000,3100,2050,13 Oct 2020
18,Surat,Surat,Tomato,Other,FAQ,750,3000,1875,12 Oct 2020
19,Surat,Surat,Tomato,Other,FAQ,600,2750,1675,10 Oct 2020
20,Surat,Surat,Tomato,Other,FAQ,800,3000,1900,09 Oct 2020
21,Surat,Surat,Tomato,Other,FAQ,800,3250,2025,08 Oct 2020
22,Surat,Surat,Tomato,Other,FAQ,700,3300,2000,07 Oct 2020
23,Surat,Surat,Tomato,Other,FAQ,750,3300,2025,06 Oct 2020
24,Surat,Surat,Tomato,Other,FAQ,800,2900,1850,05 Oct 2020
25,Surat,Surat,Tomato,Other,FAQ,1000,3250,2125,03 Oct 2020
26,Surat,Surat,Tomato,Other,FAQ,900,3250,2075,02 Oct 2020
27,Surat,Surat,Tomato,Other,FAQ,750,3250,2000,30 Sep 2020
28,Surat,Surat,Tomato,Other,FAQ,800,3250,2025,29 Sep 2020
29,Surat,Surat,Tomato,Other,FAQ,1100,3500,2300,28 Sep 2020
30,Surat,Surat,Tomato,Other,FAQ,1300,3750,2525,26 Sep 2020
31,Surat,Surat,Tomato,Other,FAQ,1000,4000,2500,25 Sep 2020
32,Surat,Surat,Tomato,Other,FAQ,1250,4000,2625,24 Sep 2020
33,Surat,Surat,Tomato,Other,FAQ,1500,4500,3000,23 Sep 2020
34,Surat,Surat,Tomato,Other,FAQ,1000,4200,2600,22 Sep 2020
35,Surat,Surat,Tomato,Other,FAQ,1500,3750,2625,21 Sep 2020
36,Surat,Surat,Tomato,Other,FAQ,1000,3750,2375,19 Sep 2020
37,Surat,Surat,Tomato,Other,FAQ,1250,3750,2500,18 Sep 2020
38,Surat,Surat,Tomato,Other,FAQ,1100,3750,2425,17 Sep 2020
39,Surat,Surat,Tomato,Other,FAQ,1100,4500,2800,16 Sep 2020
40,Surat,Surat,Tomato,Other,FAQ,1300,4750,3025,15 Sep 2020
41,Surat,Surat,Tomato,Other,FAQ,1250,5000,3125,14 Sep 2020
42,Surat,Surat,Tomato,Other,FAQ,1400,5000,3200,12 Sep 2020
43,Surat,Surat,Tomato,Other,FAQ,1200,5000,3100,11 Sep 2020
44,Surat,Surat,Tomato,Other,FAQ,1200,4250,2725,10 Sep 2020
45,Surat,Surat,Tomato,Other,FAQ,1300,5000,3150,09 Sep 2020
46,Surat,Surat,Tomato,Other,FAQ,2000,5500,3750,08 Sep 2020
47,Surat,Surat,Tomato,Other,FAQ,1250,3750,2500,31 Aug 2020
48,Surat,Surat,Tomato,Other,FAQ,1100,3500,2300,29 Aug 2020
49,Surat,Surat,Tomato,Other,FAQ,1100,3500,2300,28 Aug 2020
50,Surat,Surat,Tomato,Other,FAQ,1500,4000,2750,27 Aug 2020
51,Surat,Surat,Tomato,Other,FAQ,1500,3750,2625,26 Aug 2020
52,Surat,Surat,Tomato,Other,FAQ,1000,3000,2000,25 Aug 2020
53,Surat,Surat,Tomato,Other,FAQ,1200,3500,2350,24 Aug 2020
54,Surat,Surat,Tomato,Other,FAQ,1100,3750,2425,21 Aug 2020
55,Surat,Surat,Tomato,Other,FAQ,1000,3500,2250,20 Aug 2020
56,Surat,Surat,Tomato,Other,FAQ,1000,3500,2250,19 Aug 2020
57,Surat,Surat,Tomato,Other,FAQ,1250,3750,2500,18 Aug 2020
58,Surat,Surat,Tomato,Other,FAQ,1250,3500,2375,17 Aug 2020
59,Surat,Surat,Tomato,Other,FAQ,1000,3000,2000,14 Aug 2020
60,Surat,Surat,Tomato,Other,FAQ,1000,2250,1625,13 Aug 2020
61,Surat,Surat,Tomato,Other,FAQ,700,2000,1350,11 Aug 2020
62,Surat,Surat,Tomato,Other,FAQ,600,2000,1300,10 Aug 2020
63,Surat,Surat,Tomato,Other,FAQ,700,2250,1475,08 Aug 2020
64,Surat,Surat,Tomato,Other,FAQ,600,2250,1425,07 Aug 2020
65,Surat,Surat,Tomato,Other,FAQ,800,2500,1650,31 Jul 2020
66,Surat,Surat,Tomato,Other,FAQ,1100,3000,2050,30 Jul 2020
67,Surat,Surat,Tomato,Other,FAQ,1000,3100,2050,29 Jul 2020
68,Surat,Surat,Tomato,Other,FAQ,1100,3000,2050,28 Jul 2020
69,Surat,Surat,Tomato,Other,FAQ,1100,2500,1800,27 Jul 2020
70,Surat,Surat,Tomato,Other,FAQ,1200,3000,2100,23 Jul 2020
71,Surat,Surat,Tomato,Other,FAQ,1250,3600,2425,22 Jul 2020
72,Surat,Surat,Tomato,Other,FAQ,1250,3500,2375,21 Jul 2020
73,Surat,Surat,Tomato,Other,FAQ,1500,4000,2750,18 Jul 2020
74,Surat,Surat,Tomato,Other,FAQ,1500,4000,2750,17 Jul 2020
75,Surat,Surat,Tomato,Other,FAQ,1500,4300,2900,16 Jul 2020
76,Surat,Surat,Tomato,Other,FAQ,1300,4250,2775,15 Jul 2020
77,Surat,Surat,Tomato,Other,FAQ,2100,5000,3550,14 Jul 2020
78,Surat,Surat,Tomato,Other,FAQ,1400,3600,2500,11 Jul 2020
79,Surat,Surat,Tomato,Other,FAQ,1100,3600,2350,10 Jul 2020
80,Surat,Surat,Tomato,Other,FAQ,1750,3800,2775,09 Jul 2020
81,Surat,Surat,Tomato,Other,FAQ,1700,4000,2850,08 Jul 2020
82,Surat,Surat,Tomato,Other,FAQ,800,3250,2025,07 Jul 2020
83,Surat,Surat,Tomato,Other,FAQ,1200,3000,2100,06 Jul 2020
84,Surat,Surat,Tomato,Other,FAQ,1300,3200,2250,04 Jul 2020
85,Surat,Surat,Tomato,Other,FAQ,2250,3750,3000,03 Jul 2020
86,Surat,Surat,Tomato,Other,FAQ,2500,4100,3300,02 Jul 2020
87,Surat,Surat,Tomato,Other,FAQ,2750,4200,3475,01 Jul 2020
88,Surat,Surat,Tomato,Other,FAQ,1200,3400,2300,26 Jun 2020
89,Surat,Surat,Tomato,Other,FAQ,1100,3250,2175,25 Jun 2020
90,Surat,Surat,Tomato,Other,FAQ,1300,3500,2400,24 Jun 2020
91,Surat,Surat,Tomato,Other,FAQ,1000,2500,1750,20 Jun 2020
92,Surat,Surat,Tomato,Other,FAQ,600,2100,1350,19 Jun 2020
93,Surat,Surat,Tomato,Other,FAQ,900,2500,1700,18 Jun 2020
94,Surat,Surat,Tomato,Other,FAQ,1000,2600,1800,17 Jun 2020
95,Surat,Surat,Tomato,Other,FAQ,1000,2800,1900,16 Jun 2020
96,Surat,Surat,Tomato,Other,FAQ,1100,2750,1925,15 Jun 2020
97,Surat,Surat,Tomato,Other,FAQ,1000,2500,1750,14 Jun 2020
98,Surat,Surat,Tomato,Other,FAQ,1100,2400,1750,12 Jun 2020
99,Surat,Surat,Tomato,Other,FAQ,900,2300,1600,11 Jun 2020
100,Surat,Surat,Tomato,Other,FAQ,600,1800,1200,10 Jun 2020
101,Surat,Surat,Tomato,Other,FAQ,700,1500,1100,08 Jun 2020
102,Surat,Surat,Tomato,Other,FAQ,300,1200,750,07 Jun 2020
103,Surat,Surat,Tomato,Other,FAQ,400,1200,800,06 Jun 2020
104,Surat,Surat,Tomato,Other,FAQ,500,1300,900,05 Jun 2020
105,Surat,Surat,Tomato,Other,FAQ,500,1300,900,04 Jun 2020
106,Surat,Surat,Tomato,Other,FAQ,300,1100,700,03 Jun 2020
107,Surat,Surat,Tomato,Other,FAQ,300,1000,650,31 May 2020
108,Surat,Surat,Tomato,Other,FAQ,300,1000,650,30 May 2020
109,Surat,Surat,Tomato,Other,FAQ,400,1200,800,29 May 2020
110,Surat,Surat,Tomato,Other,FAQ,600,1500,1050,28 May 2020
111,Surat,Surat,Tomato,Other,FAQ,800,1300,1050,27 May 2020
112,Surat,Surat,Tomato,Other,FAQ,600,1500,1050,25 May 2020
113,Surat,Surat,Tomato,Other,FAQ,400,1000,700,24 May 2020
114,Surat,Surat,Tomato,Other,FAQ,300,800,550,23 May 2020
115,Surat,Surat,Tomato,Other,FAQ,200,600,400,22 May 2020
116,Surat,Surat,Tomato,Other,FAQ,250,800,525,21 May 2020
117,Surat,Surat,Tomato,Other,FAQ,250,900,575,20 May 2020
118,Surat,Surat,Tomato,Other,FAQ,250,800,525,19 May 2020
119,Surat,Surat,Tomato,Other,FAQ,150,600,375,18 May 2020
120,Surat,Surat,Tomato,Other,FAQ,150,600,375,17 May 2020
121,Surat,Surat,Tomato,Other,FAQ,150,700,425,16 May 2020
122,Surat,Surat,Tomato,Other,FAQ,200,800,500,15 May 2020
123,Surat,Surat,Tomato,Other,FAQ,500,1100,800,13 May 2020
124,Surat,Surat,Tomato,Other,FAQ,600,1700,1150,07 May 2020
125,Surat,Surat,Tomato,Other,FAQ,250,900,575,06 May 2020
126,Surat,Surat,Tomato,Other,FAQ,250,900,575,05 May 2020
127,Surat,Surat,Tomato,Other,FAQ,250,800,525,04 May 2020
128,Surat,Surat,Tomato,Other,FAQ,250,800,525,03 May 2020
129,Surat,Surat,Tomato,Other,FAQ,300,700,500,02 May 2020
130,Surat,Surat,Tomato,Other,FAQ,300,700,500,01 May 2020
131,Surat,Surat,Tomato,Other,FAQ,300,800,550,30 Apr 2020
132,Surat,Surat,Tomato,Other,FAQ,250,700,475,29 Apr 2020
133,Surat,Surat,Tomato,Other,FAQ,400,800,600,28 Apr 2020
134,Surat,Surat,Tomato,Other,FAQ,400,800,600,27 Apr 2020
135,Surat,Surat,Tomato,Other,FAQ,300,900,600,26 Apr 2020
136,Surat,Surat,Tomato,Other,FAQ,400,1000,700,25 Apr 2020
137,Surat,Surat,Tomato,Other,FAQ,400,900,650,24 Apr 2020
138,Surat,Surat,Tomato,Other,FAQ,500,1000,750,23 Apr 2020
139,Surat,Surat,Tomato,Other,FAQ,600,1400,1000,22 Apr 2020
140,Surat,Surat,Tomato,Other,FAQ,500,1100,800,21 Apr 2020
141,Surat,Surat,Tomato,Other,FAQ,600,1000,800,20 Apr 2020
142,Surat,Surat,Tomato,Other,FAQ,500,900,700,19 Apr 2020
143,Surat,Surat,Tomato,Other,FAQ,400,900,650,18 Apr 2020
144,Surat,Surat,Tomato,Other,FAQ,500,900,700,16 Apr 2020
145,Surat,Surat,Tomato,Other,FAQ,500,900,700,15 Apr 2020
146,Surat,Surat,Tomato,Other,FAQ,300,600,450,14 Apr 2020
147,Surat,Surat,Tomato,Other,FAQ,500,900,700,12 Apr 2020
148,Surat,Surat,Tomato,Other,FAQ,600,1750,1175,11 Apr 2020
149,Surat,Surat,Tomato,Other,FAQ,1000,1700,1350,10 Apr 2020
150,Surat,Surat,Tomato,Other,FAQ,800,1800,1300,09 Apr 2020
151,Surat,Surat,Tomato,Other,FAQ,200,600,400,04 Apr 2020
152,Surat,Surat,Tomato,Other,FAQ,300,600,450,03 Apr 2020
153,Surat,Surat,Tomato,Other,FAQ,200,700,450,02 Apr 2020
154,Surat,Surat,Tomato,Other,FAQ,250,800,525,01 Apr 2020
155,Surat,Surat,Tomato,Other,FAQ,400,800,600,31 Mar 2020
156,Surat,Surat,Tomato,Other,FAQ,400,700,550,30 Mar 2020
157,Surat,Surat,Tomato,Other,FAQ,200,800,500,29 Mar 2020
158,Surat,Surat,Tomato,Other,FAQ,500,1100,800,28 Mar 2020
159,Surat,Surat,Tomato,Other,FAQ,300,1200,750,24 Mar 2020
160,Surat,Surat,Tomato,Other,FAQ,500,1250,875,21 Mar 2020
161,Surat,Surat,Tomato,Other,FAQ,600,1200,900,20 Mar 2020
162,Surat,Surat,Tomato,Other,FAQ,400,900,650,19 Mar 2020
163,Surat,Surat,Tomato,Other,FAQ,400,800,600,18 Mar 2020
164,Surat,Surat,Tomato,Other,FAQ,250,600,425,17 Mar 2020
165,Surat,Surat,Tomato,Other,FAQ,250,600,425,16 Mar 2020
166,Surat,Surat,Tomato,Other,FAQ,250,600,425,14 Mar 2020
167,Surat,Surat,Tomato,Other,FAQ,300,700,500,13 Mar 2020
168,Surat,Surat,Tomato,Other,FAQ,250,650,450,12 Mar 2020
169,Surat,Surat,Tomato,Other,FAQ,200,500,350,09 Mar 2020
170,Surat,Surat,Tomato,Other,FAQ,200,600,400,08 Mar 2020
