,DATE,MODAL
0,2010-01-01,1000.0
1,2010-01-02,1125.0
2,2010-01-03,987.5
3,2010-01-04,850.0
4,2010-01-05,1025.0
5,2010-01-06,962.5
6,2010-01-07,900.0
7,2010-01-08,600.0
8,2010-01-09,683.3333333333334
9,2010-01-10,766.6666666666665
10,2010-01-11,850.0
11,2010-01-12,875.0
12,2010-01-13,975.0
13,2010-01-14,912.5
14,2010-01-15,850.0
15,2010-01-16,875.0
16,2010-01-17,862.5
17,2010-01-18,850.0
18,2010-01-19,700.0
19,2010-01-20,750.0
20,2010-01-21,800.0
21,2010-01-22,850.0
22,2010-01-23,833.3333333333335
23,2010-01-24,816.6666666666665
24,2010-01-25,800.0
25,2010-01-26,800.0
26,2010-01-27,800.0
27,2010-01-28,750.0
28,2010-01-29,750.0
29,2010-01-30,700.0
30,2010-01-31,775.0
31,2010-02-01,850.0
32,2010-02-02,800.0
33,2010-02-03,750.0
34,2010-02-04,750.0
35,2010-02-05,700.0
36,2010-02-06,750.0
37,2010-02-07,750.0
38,2010-02-08,750.0
39,2010-02-09,650.0
40,2010-02-10,700.0
41,2010-02-11,675.0
42,2010-02-12,754.1666666666665
43,2010-02-13,833.3333333333335
44,2010-02-14,912.5
45,2010-02-15,991.6666666666667
46,2010-02-16,1070.8333333333335
47,2010-02-17,1150.0
48,2010-02-18,1200.0
49,2010-02-19,1125.0
50,2010-02-20,1300.0
51,2010-02-21,1300.0
52,2010-02-22,1300.0
53,2010-02-23,850.0
54,2010-02-24,975.0
55,2010-02-25,875.0
56,2010-02-26,1100.0
57,2010-02-27,1087.5
58,2010-02-28,1075.0
59,2010-03-01,1062.5
60,2010-03-02,1050.0
61,2010-03-03,825.0
62,2010-03-04,825.0
63,2010-03-05,900.0
64,2010-03-06,825.0
65,2010-03-07,900.0
66,2010-03-08,975.0
67,2010-03-09,950.0
68,2010-03-10,900.0
69,2010-03-11,875.0
70,2010-03-12,1000.0
71,2010-03-13,916.6666666666665
72,2010-03-14,833.3333333333335
73,2010-03-15,750.0
74,2010-03-16,1200.0
75,2010-03-17,1225.0
76,2010-03-18,1250.0
77,2010-03-19,1250.0
78,2010-03-20,1275.0
79,2010-03-21,1300.0
80,2010-03-22,1325.0
81,2010-03-23,1250.0
82,2010-03-24,1250.0
83,2010-03-25,1250.0
84,2010-03-26,1150.0
85,2010-03-27,1250.0
86,2010-03-28,1150.0
87,2010-03-29,1050.0
88,2010-03-30,1050.0
89,2010-03-31,1100.0
90,2010-04-01,1150.0
91,2010-04-02,1000.0
92,2010-04-03,1125.0
