,DATE,MODAL
0,2010-01-01,1625.0
1,2010-01-02,1425.0
2,2010-01-03,1462.5
3,2010-01-04,1500.0
4,2010-01-05,2125.0
5,2010-01-06,1750.0
6,2010-01-07,1375.0
7,2010-01-08,1150.0
8,2010-01-09,1191.6666666666667
9,2010-01-10,1233.3333333333333
10,2010-01-11,1275.0
11,2010-01-12,1075.0
12,2010-01-13,1125.0
13,2010-01-14,1225.0
14,2010-01-15,1325.0
15,2010-01-16,1175.0
16,2010-01-17,1112.5
17,2010-01-18,1050.0
18,2010-01-19,1250.0
19,2010-01-20,1075.0
20,2010-01-21,900.0
21,2010-01-22,950.0
22,2010-01-23,966.6666666666665
23,2010-01-24,983.3333333333335
24,2010-01-25,1000.0
25,2010-01-26,962.5
26,2010-01-27,925.0
27,2010-01-28,750.0
28,2010-01-29,600.0
29,2010-01-30,875.0
30,2010-01-31,837.5
31,2010-02-01,800.0
32,2010-02-02,800.0
33,2010-02-03,700.0
34,2010-02-04,950.0
35,2010-02-05,950.0
36,2010-02-06,1000.0
37,2010-02-07,925.0
38,2010-02-08,850.0
39,2010-02-09,875.0
40,2010-02-10,900.0
41,2010-02-11,875.0
42,2010-02-12,895.8333333333335
43,2010-02-13,916.6666666666665
44,2010-02-14,937.5
45,2010-02-15,958.3333333333335
46,2010-02-16,979.1666666666665
47,2010-02-17,1000.0
48,2010-02-18,950.0
49,2010-02-19,850.0
50,2010-02-20,1000.0
51,2010-02-21,1062.5
52,2010-02-22,1125.0
53,2010-02-23,650.0
54,2010-02-24,825.0
55,2010-02-25,875.0
56,2010-02-26,725.0
57,2010-02-27,743.75
58,2010-02-28,762.5
59,2010-03-01,781.25
60,2010-03-02,800.0
61,2010-03-03,750.0
62,2010-03-04,750.0
63,2010-03-05,750.0
64,2010-03-06,575.0
65,2010-03-07,712.5
66,2010-03-08,850.0
67,2010-03-09,750.0
68,2010-03-10,750.0
69,2010-03-11,800.0
70,2010-03-12,750.0
71,2010-03-13,750.0
72,2010-03-14,750.0
73,2010-03-15,750.0
74,2010-03-16,1200.0
75,2010-03-17,1087.5
76,2010-03-18,975.0
77,2010-03-19,1125.0
78,2010-03-20,1166.6666666666667
79,2010-03-21,1208.3333333333333
80,2010-03-22,1250.0
81,2010-03-23,1050.0
82,2010-03-24,1125.0
83,2010-03-25,1200.0
84,2010-03-26,975.0
85,2010-03-27,1050.0
86,2010-03-28,962.5
87,2010-03-29,875.0
88,2010-03-30,875.0
89,2010-03-31,887.5
90,2010-04-01,900.0
91,2010-04-02,1125.0
92,2010-04-03,500.0
93,2010-04-04,525.0
94,2010-04-05,550.0
95,2010-04-06,650.0
96,2010-04-07,675.0
97,2010-04-08,625.0
98,2010-04-09,750.0
99,2010-04-10,450.0
100,2010-04-11,516.6666666666666
101,2010-04-12,583.3333333333334
102,2010-04-13,650.0
103,2010-04-14,600.0
104,2010-04-15,650.0
105,2010-04-16,650.0
106,2010-04-17,850.0
107,2010-04-18,800.0
108,2010-04-19,750.0
109,2010-04-20,750.0
110,2010-04-21,650.0
111,2010-04-22,800.0
112,2010-04-23,875.0
113,2010-04-24,883.3333333333335
114,2010-04-25,891.6666666666665
115,2010-04-26,900.0
116,2010-04-27,2150.0
117,2010-04-28,1000.0
118,2010-04-29,1000.0
119,2010-04-30,1250.0
120,2010-05-01,1208.3333333333333
121,2010-05-02,1166.6666666666667
122,2010-05-03,1125.0
123,2010-05-04,1250.0
124,2010-05-05,1150.0
125,2010-05-06,975.0
126,2010-05-07,1000.0
127,2010-05-08,1016.6666666666665
128,2010-05-09,1033.3333333333333
129,2010-05-10,1050.0
130,2010-05-11,1250.0
131,2010-05-12,1100.0
132,2010-05-13,1150.0
133,2010-05-14,1100.0
134,2010-05-15,1150.0
135,2010-05-16,1150.0
136,2010-05-17,1150.0
137,2010-05-18,1225.0
138,2010-05-19,1300.0
139,2010-05-20,1200.0
140,2010-05-21,950.0
141,2010-05-22,900.0
142,2010-05-23,850.0
143,2010-05-24,800.0
144,2010-05-25,750.0
145,2010-05-26,600.0
146,2010-05-27,450.0
147,2010-05-28,250.0
148,2010-05-29,750.0
149,2010-05-30,812.5
150,2010-05-31,875.0
151,2010-06-01,750.0
152,2010-06-02,950.0
153,2010-06-03,750.0
154,2010-06-04,750.0
155,2010-06-05,750.0
156,2010-06-06,850.0
157,2010-06-07,950.0
158,2010-06-08,850.0
159,2010-06-09,950.0
160,2010-06-10,1050.0
161,2010-06-11,925.0
162,2010-06-12,933.3333333333335
163,2010-06-13,941.6666666666665
164,2010-06-14,950.0
165,2010-06-15,900.0
166,2010-06-16,925.0
167,2010-06-17,837.5
168,2010-06-18,750.0
169,2010-06-19,800.0
170,2010-06-20,950.0
171,2010-06-21,1100.0
172,2010-06-22,900.0
173,2010-06-23,900.0
174,2010-06-24,1150.0
175,2010-06-25,1200.0
176,2010-06-26,1200.0
177,2010-06-27,1200.0
178,2010-06-28,1200.0
179,2010-06-29,1150.0
180,2010-06-30,1625.0
181,2010-07-01,1100.0
182,2010-07-02,1050.0
183,2010-07-03,1250.0
184,2010-07-04,1125.0
185,2010-07-05,1000.0
186,2010-07-06,1000.0
187,2010-07-07,1250.0
188,2010-07-08,1125.0
189,2010-07-09,900.0
190,2010-07-10,916.6666666666665
191,2010-07-11,933.3333333333335
192,2010-07-12,950.0
193,2010-07-13,1100.0
194,2010-07-14,800.0
195,2010-07-15,875.0
196,2010-07-16,750.0
197,2010-07-17,750.0
198,2010-07-18,775.0
199,2010-07-19,800.0
200,2010-07-20,700.0
201,2010-07-21,750.0
202,2010-07-22,650.0
203,2010-07-23,700.0
204,2010-07-24,700.0
205,2010-07-25,700.0
206,2010-07-26,700.0
207,2010-07-27,707.1428571428571
208,2010-07-28,714.2857142857142
209,2010-07-29,721.4285714285713
210,2010-07-30,728.5714285714287
211,2010-07-31,735.7142857142858
212,2010-08-01,742.8571428571429
213,2010-08-02,750.0
214,2010-08-03,850.0
215,2010-08-04,1100.0
216,2010-08-05,1100.0
217,2010-08-06,900.0
218,2010-08-07,900.0
219,2010-08-08,887.5
220,2010-08-09,875.0
221,2010-08-10,937.5
222,2010-08-11,1000.0
223,2010-08-12,1200.0
224,2010-08-13,1250.0
225,2010-08-14,1291.6666666666667
226,2010-08-15,1333.3333333333333
227,2010-08-16,1375.0
228,2010-08-17,1250.0
229,2010-08-18,1250.0
230,2010-08-19,1500.0
231,2010-08-20,1500.0
232,2010-08-21,1500.0
233,2010-08-22,1500.0
234,2010-08-23,1500.0
235,2010-08-24,1375.0
236,2010-08-25,1250.0
237,2010-08-26,1800.0
238,2010-08-27,875.0
239,2010-08-28,1166.6666666666667
240,2010-08-29,1458.3333333333335
241,2010-08-30,1750.0
242,2010-08-31,1500.0
243,2010-09-01,1000.0
244,2010-09-02,1250.0
245,2010-09-03,1500.0
246,2010-09-04,1325.0
247,2010-09-05,1287.5
248,2010-09-06,1250.0
249,2010-09-07,1212.5
250,2010-09-08,1175.0
251,2010-09-09,1375.0
252,2010-09-10,1500.0
253,2010-09-11,1558.333333333333
254,2010-09-12,1616.666666666667
255,2010-09-13,1675.0
256,2010-09-14,1550.0
257,2010-09-15,900.0
258,2010-09-16,2125.0
259,2010-09-17,2050.0
260,2010-09-18,2075.0
261,2010-09-19,2020.833333333333
262,2010-09-20,1966.666666666667
263,2010-09-21,1912.5
264,2010-09-22,1858.333333333333
265,2010-09-23,1804.166666666667
266,2010-09-24,1750.0
267,2010-09-25,1666.666666666667
268,2010-09-26,1583.333333333333
269,2010-09-27,1500.0
270,2010-09-28,1500.0
271,2010-09-29,1625.0
272,2010-09-30,1500.0
273,2010-10-01,1650.0
274,2010-10-02,1533.333333333333
275,2010-10-03,1416.666666666667
276,2010-10-04,1300.0
277,2010-10-05,1400.0
278,2010-10-06,1500.0
279,2010-10-07,1450.0
280,2010-10-08,1467.5
281,2010-10-09,1485.0
282,2010-10-10,1502.5
283,2010-10-11,1520.0
284,2010-10-12,1537.5
285,2010-10-13,1555.0
286,2010-10-14,1572.5
287,2010-10-15,1590.0
288,2010-10-16,1607.5
289,2010-10-17,1625.0
290,2010-10-18,1642.5
291,2010-10-19,1660.0
292,2010-10-20,1677.5
293,2010-10-21,1695.0
294,2010-10-22,1712.5
295,2010-10-23,1730.0
296,2010-10-24,1747.5
297,2010-10-25,1765.0
298,2010-10-26,1782.5
299,2010-10-27,1800.0
300,2010-10-28,1750.0
301,2010-10-29,1750.0
302,2010-10-30,1875.0
303,2010-10-31,1812.5
304,2010-11-01,1750.0
305,2010-11-02,1750.0
306,2010-11-03,2000.0
307,2010-11-04,2125.0
308,2010-11-05,2093.75
309,2010-11-06,2062.5
310,2010-11-07,2031.25
311,2010-11-08,2000.0
312,2010-11-09,2000.0
313,2010-11-10,1750.0
314,2010-11-11,2500.0
315,2010-11-12,1125.0
316,2010-11-13,1291.6666666666667
317,2010-11-14,1458.333333333333
318,2010-11-15,1625.0
319,2010-11-16,1625.0
320,2010-11-17,1625.0
321,2010-11-18,1625.0
322,2010-11-19,2075.0
323,2010-11-20,1950.0
324,2010-11-21,1825.0
325,2010-11-22,1700.0
326,2010-11-23,1950.0
327,2010-11-24,1800.0
328,2010-11-25,1550.0
329,2010-11-26,1750.0
330,2010-11-27,1725.0
331,2010-11-28,1800.0
332,2010-11-29,1875.0
333,2010-11-30,2062.5
334,2010-12-01,2250.0
335,2010-12-02,2250.0
336,2010-12-03,2250.0
337,2010-12-04,2150.0
338,2010-12-05,2170.0
339,2010-12-06,2190.0
340,2010-12-07,2210.0
341,2010-12-08,2230.0
342,2010-12-09,2250.0
343,2010-12-10,2350.0
344,2010-12-11,2441.6666666666665
345,2010-12-12,2533.333333333333
346,2010-12-13,2625.0
347,2010-12-14,2375.0
348,2010-12-15,2625.0
349,2010-12-16,2475.0
350,2010-12-17,2875.0
351,2010-12-18,2950.0
352,2010-12-19,2825.0
353,2010-12-20,2700.0
354,2010-12-21,2800.0
355,2010-12-22,2750.0
356,2010-12-23,3050.0
357,2010-12-24,2875.0
358,2010-12-25,2833.333333333333
359,2010-12-26,2791.666666666666
360,2010-12-27,2750.0
361,2010-12-28,1800.0
362,2010-12-29,1825.0
363,2010-12-30,1616.666666666667
364,2010-12-31,1408.333333333333
365,2011-01-01,1200.0
366,2011-01-02,1350.0
367,2011-01-03,1500.0
368,2011-01-04,1600.0
369,2011-01-05,1175.0
370,2011-01-06,1250.0
371,2011-01-07,1125.0
372,2011-01-08,1141.6666666666667
373,2011-01-09,1158.3333333333333
374,2011-01-10,1175.0
375,2011-01-11,1075.0
376,2011-01-12,1125.0
377,2011-01-13,800.0
378,2011-01-14,825.0
379,2011-01-15,850.0
380,2011-01-16,737.5
381,2011-01-17,625.0
382,2011-01-18,450.0
383,2011-01-19,450.0
384,2011-01-20,525.0
385,2011-01-21,500.0
386,2011-01-22,500.0
387,2011-01-23,550.0
388,2011-01-24,600.0
389,2011-01-25,400.0
390,2011-01-26,412.5
391,2011-01-27,425.0
392,2011-01-28,325.0
393,2011-01-29,375.0
394,2011-01-30,400.0
395,2011-01-31,425.0
396,2011-02-01,375.0
397,2011-02-02,400.0
398,2011-02-03,437.5
399,2011-02-04,475.0
400,2011-02-05,518.75
401,2011-02-06,562.5
402,2011-02-07,606.25
403,2011-02-08,650.0
404,2011-02-09,275.0
405,2011-02-10,300.0
406,2011-02-11,350.0
407,2011-02-12,400.0
408,2011-02-13,450.0
409,2011-02-14,500.0
410,2011-02-15,400.0
411,2011-02-16,350.0
412,2011-02-17,700.0
413,2011-02-18,700.0
414,2011-02-19,500.0
415,2011-02-20,458.33333333333326
416,2011-02-21,416.66666666666674
417,2011-02-22,375.0
418,2011-02-23,700.0
419,2011-02-24,633.3333333333334
420,2011-02-25,566.6666666666666
421,2011-02-26,500.0
422,2011-02-27,625.0
423,2011-02-28,750.0
424,2011-03-01,700.0
425,2011-03-02,650.0
426,2011-03-03,600.0
427,2011-03-04,500.0
428,2011-03-05,500.0
429,2011-03-06,483.33333333333326
430,2011-03-07,466.66666666666674
431,2011-03-08,450.0
432,2011-03-09,700.0
433,2011-03-10,500.0
434,2011-03-11,700.0
435,2011-03-12,900.0
436,2011-03-13,900.0
437,2011-03-14,900.0
438,2011-03-15,900.0
439,2011-03-16,825.0
440,2011-03-17,550.0
441,2011-03-18,675.0
442,2011-03-19,675.0
443,2011-03-20,775.0
444,2011-03-21,875.0
445,2011-03-22,600.0
446,2011-03-23,550.0
447,2011-03-24,375.0
448,2011-03-25,500.0
449,2011-03-26,516.6666666666666
450,2011-03-27,533.3333333333334
451,2011-03-28,550.0
452,2011-03-29,600.0
453,2011-03-30,600.0
454,2011-03-31,600.0
455,2011-04-01,600.0
456,2011-04-02,550.0
457,2011-04-03,550.0
458,2011-04-04,550.0
459,2011-04-05,600.0
460,2011-04-06,550.0
461,2011-04-07,575.0
462,2011-04-08,500.0
463,2011-04-09,483.33333333333326
464,2011-04-10,466.66666666666674
465,2011-04-11,450.0
466,2011-04-12,437.5
467,2011-04-13,425.0
468,2011-04-14,440.0
469,2011-04-15,455.0
470,2011-04-16,470.0
471,2011-04-17,485.0
472,2011-04-18,500.0
473,2011-04-19,500.0
474,2011-04-20,500.0
475,2011-04-21,500.0
476,2011-04-22,500.0
477,2011-04-23,600.0
478,2011-04-24,575.0
479,2011-04-25,550.0
480,2011-04-26,500.0
481,2011-04-27,500.0
482,2011-04-28,625.0
483,2011-04-29,500.0
484,2011-04-30,500.0
485,2011-05-01,500.0
486,2011-05-02,500.0
487,2011-05-03,750.0
488,2011-05-04,750.0
489,2011-05-05,600.0
490,2011-05-06,625.0
491,2011-05-07,625.0
492,2011-05-08,712.5
493,2011-05-09,800.0
494,2011-05-10,750.0
495,2011-05-11,750.0
496,2011-05-12,650.0
497,2011-05-13,800.0
498,2011-05-14,750.0
499,2011-05-15,781.25
500,2011-05-16,812.5
501,2011-05-17,843.75
502,2011-05-18,875.0
503,2011-05-19,875.0
504,2011-05-20,800.0
505,2011-05-21,858.3333333333335
506,2011-05-22,916.6666666666665
507,2011-05-23,975.0
508,2011-05-24,1500.0
509,2011-05-25,1150.0
510,2011-05-26,1425.0
511,2011-05-27,850.0
512,2011-05-28,1016.6666666666665
513,2011-05-29,1183.3333333333333
514,2011-05-30,1350.0
515,2011-05-31,1250.0
516,2011-06-01,1100.0
517,2011-06-02,875.0
518,2011-06-03,325.0
519,2011-06-04,800.0
520,2011-06-05,750.0
521,2011-06-06,700.0
522,2011-06-07,850.0
523,2011-06-08,750.0
524,2011-06-09,800.0
525,2011-06-10,800.0
526,2011-06-11,850.0
