,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Surat,Surat,Onion,Other,FAQ,1250,2000,1625,31 Aug 2020
1,Surat,Surat,Onion,Other,FAQ,1100,2000,1550,29 Aug 2020
2,Surat,Surat,Onion,Other,FAQ,1200,2000,1600,28 Aug 2020
3,Surat,Surat,Onion,Other,FAQ,1300,2000,1650,27 Aug 2020
4,Surat,Surat,Onion,Other,FAQ,1000,1900,1450,26 Aug 2020
5,Surat,Surat,Onion,Other,FAQ,1000,1900,1450,25 Aug 2020
6,Surat,Surat,Onion,Other,FAQ,1000,2000,1500,24 Aug 2020
7,Surat,Surat,Onion,Other,FAQ,900,2000,1450,21 Aug 2020
8,Surat,Surat,Onion,Other,FAQ,1250,1900,1575,20 Aug 2020
9,Surat,Surat,Onion,Other,FAQ,1000,1750,1375,19 Aug 2020
10,Surat,Surat,Onion,Other,FAQ,900,1700,1300,18 Aug 2020
11,Surat,Surat,Onion,Other,FAQ,800,1600,1200,17 Aug 2020
12,Surat,Surat,Onion,Other,FAQ,600,1250,925,14 Aug 2020
13,Surat,Surat,Onion,Other,FAQ,700,1250,975,13 Aug 2020
14,Surat,Surat,Onion,Other,FAQ,600,1200,900,11 Aug 2020
15,Surat,Surat,Onion,Other,FAQ,500,1150,825,10 Aug 2020
16,Surat,Surat,Onion,Other,FAQ,600,1100,850,09 Aug 2020
17,Surat,Surat,Onion,Other,FAQ,400,1100,750,31 Jul 2020
18,Surat,Surat,Onion,Other,FAQ,400,1100,750,30 Jul 2020
19,Surat,Surat,Onion,Other,FAQ,500,1100,800,29 Jul 2020
20,Surat,Surat,Onion,Other,FAQ,600,1200,900,28 Jul 2020
21,Surat,Surat,Onion,Other,FAQ,500,1150,825,27 Jul 2020
22,Surat,Surat,Onion,Other,FAQ,500,1200,850,24 Jul 2020
23,Surat,Surat,Onion,Other,FAQ,500,1150,825,23 Jul 2020
24,Surat,Surat,Onion,Other,FAQ,500,1150,825,22 Jul 2020
25,Surat,Surat,Onion,Other,FAQ,500,1200,850,21 Jul 2020
26,Surat,Surat,Onion,Other,FAQ,700,1200,950,18 Jul 2020
