,DATE,MODAL
0,2010-01-01,912.0
1,2010-01-02,875.0
2,2010-01-03,812.5
3,2010-01-04,750.0
4,2010-01-05,825.0
5,2010-01-06,800.0
6,2010-01-07,775.0
7,2010-01-08,775.0
8,2010-01-09,708.3333333333335
9,2010-01-10,641.6666666666666
10,2010-01-11,575.0
11,2010-01-12,600.0
12,2010-01-13,725.0
13,2010-01-14,725.0
14,2010-01-15,725.0
15,2010-01-16,750.0
16,2010-01-17,750.0
17,2010-01-18,750.0
18,2010-01-19,725.0
19,2010-01-20,687.5
20,2010-01-21,650.0
21,2010-01-22,712.0
22,2010-01-23,691.3333333333335
23,2010-01-24,670.6666666666666
24,2010-01-25,650.0
25,2010-01-26,637.5
26,2010-01-27,625.0
27,2010-01-28,575.0
28,2010-01-29,550.0
29,2010-01-30,625.0
30,2010-01-31,612.5
31,2010-02-01,600.0
32,2010-02-02,550.0
33,2010-02-03,550.0
34,2010-02-04,550.0
35,2010-02-05,537.0
36,2010-02-06,537.0
37,2010-02-07,531.0
38,2010-02-08,525.0
39,2010-02-09,525.0
40,2010-02-10,512.0
41,2010-02-11,512.0
42,2010-02-12,505.83333333333326
43,2010-02-13,499.66666666666674
44,2010-02-14,493.5
45,2010-02-15,487.33333333333326
46,2010-02-16,481.16666666666674
47,2010-02-17,475.0
48,2010-02-18,475.0
49,2010-02-19,475.0
50,2010-02-20,475.0
51,2010-02-21,475.0
52,2010-02-22,475.0
53,2010-02-23,525.0
54,2010-02-24,487.0
55,2010-02-25,465.0
56,2010-02-26,487.0
57,2010-02-27,484.0
58,2010-02-28,481.0
59,2010-03-01,478.0
60,2010-03-02,475.0
61,2010-03-03,475.0
62,2010-03-04,487.0
63,2010-03-05,512.0
64,2010-03-06,487.0
65,2010-03-07,499.5
66,2010-03-08,512.0
67,2010-03-09,512.0
68,2010-03-10,512.0
69,2010-03-11,512.0
70,2010-03-12,512.0
71,2010-03-13,533.0
72,2010-03-14,554.0
73,2010-03-15,575.0
74,2010-03-16,525.0
75,2010-03-17,518.5
76,2010-03-18,512.0
77,2010-03-19,487.0
78,2010-03-20,487.0
79,2010-03-21,487.0
80,2010-03-22,487.0
81,2010-03-23,512.0
82,2010-03-24,524.5
83,2010-03-25,537.0
84,2010-03-26,600.0
85,2010-03-27,600.0
86,2010-03-28,612.5
87,2010-03-29,625.0
88,2010-03-30,587.0
89,2010-03-31,618.5
90,2010-04-01,650.0
91,2010-04-02,637.0
92,2010-04-03,625.0
93,2010-04-04,637.5
94,2010-04-05,650.0
95,2010-04-06,600.0
96,2010-04-07,675.0
97,2010-04-08,600.0
98,2010-04-09,650.0
99,2010-04-10,625.0
100,2010-04-11,633.3333333333334
101,2010-04-12,641.6666666666666
102,2010-04-13,650.0
103,2010-04-14,675.0
104,2010-04-15,650.0
105,2010-04-16,650.0
106,2010-04-17,650.0
107,2010-04-18,637.5
108,2010-04-19,625.0
109,2010-04-20,650.0
110,2010-04-21,650.0
111,2010-04-22,650.0
112,2010-04-23,650.0
113,2010-04-24,645.6666666666666
114,2010-04-25,641.3333333333334
115,2010-04-26,637.0
116,2010-04-27,575.0
117,2010-04-28,575.0
118,2010-04-29,625.0
119,2010-04-30,625.0
120,2010-05-01,620.6666666666666
121,2010-05-02,616.3333333333334
122,2010-05-03,612.0
123,2010-05-04,612.0
124,2010-05-05,600.0
125,2010-05-06,625.0
126,2010-05-07,600.0
127,2010-05-08,600.0
128,2010-05-09,600.0
129,2010-05-10,600.0
130,2010-05-11,575.0
131,2010-05-12,587.0
132,2010-05-13,587.0
133,2010-05-14,575.0
134,2010-05-15,600.0
135,2010-05-16,587.5
136,2010-05-17,575.0
137,2010-05-18,568.5
138,2010-05-19,562.0
139,2010-05-20,562.0
140,2010-05-21,575.0
141,2010-05-22,570.6666666666666
142,2010-05-23,566.3333333333334
143,2010-05-24,562.0
144,2010-05-25,600.0
145,2010-05-26,581.0
146,2010-05-27,562.0
147,2010-05-28,600.0
148,2010-05-29,625.0
149,2010-05-30,593.5
150,2010-05-31,562.0
151,2010-06-01,562.0
152,2010-06-02,587.0
153,2010-06-03,587.0
154,2010-06-04,587.0
155,2010-06-05,600.0
156,2010-06-06,631.0
157,2010-06-07,662.0
158,2010-06-08,587.0
159,2010-06-09,624.5
160,2010-06-10,662.0
161,2010-06-11,600.0
162,2010-06-12,600.0
163,2010-06-13,600.0
164,2010-06-14,600.0
165,2010-06-15,575.0
166,2010-06-16,600.0
167,2010-06-17,600.0
168,2010-06-18,600.0
169,2010-06-19,600.0
170,2010-06-20,600.0
171,2010-06-21,600.0
172,2010-06-22,612.0
173,2010-06-23,587.0
174,2010-06-24,600.0
175,2010-06-25,600.0
176,2010-06-26,608.3333333333334
177,2010-06-27,616.6666666666666
178,2010-06-28,625.0
179,2010-06-29,575.0
180,2010-06-30,575.0
181,2010-07-01,600.0
182,2010-07-02,575.0
183,2010-07-03,612.0
184,2010-07-04,599.5
185,2010-07-05,587.0
186,2010-07-06,600.0
187,2010-07-07,600.0
188,2010-07-08,612.0
189,2010-07-09,575.0
190,2010-07-10,575.0
191,2010-07-11,575.0
192,2010-07-12,575.0
193,2010-07-13,575.0
194,2010-07-14,575.0
195,2010-07-15,562.0
196,2010-07-16,562.0
197,2010-07-17,525.0
198,2010-07-18,543.5
199,2010-07-19,562.0
200,2010-07-20,537.0
201,2010-07-21,537.0
202,2010-07-22,575.0
203,2010-07-23,537.0
204,2010-07-24,537.0
205,2010-07-25,537.0
206,2010-07-26,537.0
207,2010-07-27,533.4285714285714
208,2010-07-28,529.8571428571429
209,2010-07-29,526.2857142857143
210,2010-07-30,522.7142857142857
211,2010-07-31,519.1428571428571
212,2010-08-01,515.5714285714286
213,2010-08-02,512.0
214,2010-08-03,487.0
215,2010-08-04,525.0
216,2010-08-05,487.0
217,2010-08-06,500.0
218,2010-08-07,487.0
219,2010-08-08,493.5
220,2010-08-09,500.0
221,2010-08-10,493.5
222,2010-08-11,487.0
223,2010-08-12,525.0
224,2010-08-13,525.0
225,2010-08-14,516.6666666666666
226,2010-08-15,508.33333333333326
227,2010-08-16,500.0
228,2010-08-17,487.0
229,2010-08-18,550.0
230,2010-08-19,450.0
231,2010-08-20,458.75
232,2010-08-21,467.5
233,2010-08-22,476.25
234,2010-08-23,485.0
235,2010-08-24,486.0
236,2010-08-25,487.0
237,2010-08-26,500.0
238,2010-08-27,487.0
239,2010-08-28,491.33333333333326
240,2010-08-29,495.66666666666674
241,2010-08-30,500.0
242,2010-08-31,525.0
243,2010-09-01,575.0
244,2010-09-02,568.5
245,2010-09-03,562.0
246,2010-09-04,587.0
247,2010-09-05,568.5
248,2010-09-06,550.0
249,2010-09-07,550.0
250,2010-09-08,550.0
251,2010-09-09,725.0
252,2010-09-10,550.0
253,2010-09-11,554.0
254,2010-09-12,558.0
255,2010-09-13,562.0
256,2010-09-14,562.0
257,2010-09-15,600.0
258,2010-09-16,587.0
259,2010-09-17,587.0
260,2010-09-18,650.0
261,2010-09-19,641.6666666666666
262,2010-09-20,633.3333333333334
263,2010-09-21,625.0
264,2010-09-22,616.6666666666666
265,2010-09-23,608.3333333333334
266,2010-09-24,600.0
267,2010-09-25,629.0
268,2010-09-26,658.0
269,2010-09-27,687.0
270,2010-09-28,687.0
271,2010-09-29,712.0
272,2010-09-30,700.0
273,2010-10-01,725.0
274,2010-10-02,716.6666666666665
275,2010-10-03,708.3333333333335
276,2010-10-04,700.0
277,2010-10-05,700.0
278,2010-10-06,675.0
279,2010-10-07,700.0
280,2010-10-08,701.85
281,2010-10-09,703.7
282,2010-10-10,705.55
283,2010-10-11,707.4
284,2010-10-12,709.25
285,2010-10-13,711.1
286,2010-10-14,712.95
287,2010-10-15,714.8
288,2010-10-16,716.65
289,2010-10-17,718.5
290,2010-10-18,720.35
291,2010-10-19,722.2
292,2010-10-20,724.05
293,2010-10-21,725.9
294,2010-10-22,727.75
295,2010-10-23,729.6
296,2010-10-24,731.45
297,2010-10-25,733.3
298,2010-10-26,735.15
299,2010-10-27,737.0
300,2010-10-28,687.0
301,2010-10-29,700.0
302,2010-10-30,700.0
303,2010-10-31,687.5
304,2010-11-01,675.0
305,2010-11-02,675.0
306,2010-11-03,725.0
307,2010-11-04,775.0
308,2010-11-05,787.5
309,2010-11-06,800.0
310,2010-11-07,812.5
311,2010-11-08,825.0
312,2010-11-09,825.0
313,2010-11-10,825.0
314,2010-11-11,850.0
315,2010-11-12,825.0
316,2010-11-13,808.3333333333335
317,2010-11-14,791.6666666666665
318,2010-11-15,775.0
319,2010-11-16,750.0
320,2010-11-17,837.0
321,2010-11-18,950.0
322,2010-11-19,1062.0
323,2010-11-20,1058.0
324,2010-11-21,1054.0
325,2010-11-22,1050.0
326,2010-11-23,1050.0
327,2010-11-24,1062.0
328,2010-11-25,1050.0
329,2010-11-26,1000.0
