DATE,MODAL
2010-01-01,912.0
2010-01-02,875.0
2010-01-03,812.5
2010-01-04,750.0
2010-01-05,825.0
2010-01-06,800.0
2010-01-07,775.0
2010-01-08,775.0
2010-01-09,708.3333333333334
2010-01-10,641.6666666666666
2010-01-11,575.0
2010-01-12,600.0
2010-01-13,725.0
2010-01-14,725.0
2010-01-15,725.0
2010-01-16,750.0
2010-01-17,750.0
2010-01-18,750.0
2010-01-19,725.0
2010-01-20,687.5
2010-01-21,650.0
2010-01-22,712.0
2010-01-23,691.3333333333334
2010-01-24,670.6666666666666
2010-01-25,650.0
2010-01-26,637.5
2010-01-27,625.0
2010-01-28,575.0
2010-01-29,550.0
2010-01-30,625.0
2010-01-31,612.5
2010-02-01,600.0
2010-02-02,550.0
2010-02-03,550.0
2010-02-04,550.0
2010-02-05,537.0
2010-02-06,537.0
2010-02-07,531.0
2010-02-08,525.0
2010-02-09,525.0
2010-02-10,512.0
2010-02-11,512.0
2010-02-12,505.8333333333333
2010-02-13,499.6666666666667
2010-02-14,493.5
2010-02-15,487.3333333333333
2010-02-16,481.1666666666667
2010-02-17,475.0
2010-02-18,475.0
2010-02-19,475.0
2010-02-20,475.0
2010-02-21,475.0
2010-02-22,475.0
2010-02-23,525.0
2010-02-24,487.0
2010-02-25,465.0
2010-02-26,487.0
2010-02-27,484.0
2010-02-28,481.0
2010-03-01,478.0
2010-03-02,475.0
2010-03-03,475.0
2010-03-04,487.0
2010-03-05,512.0
2010-03-06,487.0
2010-03-07,499.5
2010-03-08,512.0
2010-03-09,512.0
2010-03-10,512.0
2010-03-11,512.0
2010-03-12,512.0
2010-03-13,533.0
2010-03-14,554.0
2010-03-15,575.0
2010-03-16,525.0
2010-03-17,518.5
2010-03-18,512.0
2010-03-19,487.0
2010-03-20,487.0
2010-03-21,487.0
2010-03-22,487.0
2010-03-23,512.0
2010-03-24,524.5
2010-03-25,537.0
2010-03-26,600.0
2010-03-27,600.0
2010-03-28,612.5
2010-03-29,625.0
2010-03-30,587.0
2010-03-31,618.5
2010-04-01,650.0
2010-04-02,637.0
2010-04-03,625.0
2010-04-04,637.5
2010-04-05,650.0
2010-04-06,600.0
2010-04-07,675.0
2010-04-08,600.0
2010-04-09,650.0
2010-04-10,625.0
2010-04-11,633.3333333333334
2010-04-12,641.6666666666666
2010-04-13,650.0
2010-04-14,675.0
2010-04-15,650.0
2010-04-16,650.0
2010-04-17,650.0
2010-04-18,637.5
2010-04-19,625.0
2010-04-20,650.0
2010-04-21,650.0
2010-04-22,650.0
2010-04-23,650.0
2010-04-24,645.6666666666666
2010-04-25,641.3333333333334
2010-04-26,637.0
2010-04-27,575.0
2010-04-28,575.0
2010-04-29,625.0
2010-04-30,625.0
2010-05-01,620.6666666666666
2010-05-02,616.3333333333334
2010-05-03,612.0
2010-05-04,612.0
2010-05-05,600.0
2010-05-06,625.0
2010-05-07,600.0
2010-05-08,600.0
2010-05-09,600.0
