,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Pune,Pune,Carrot,Other,FAQ,2000,4000,3000,06 Nov 2020
1,Pune,Pune,Carrot,Other,FAQ,2000,4000,3000,05 Nov 2020
2,Pune,Pune,Carrot,Other,FAQ,2000,3000,2500,04 Nov 2020
3,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,03 Nov 2020
4,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,02 Nov 2020
5,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,01 Nov 2020
6,Pune,Pune,Carrot,Other,FAQ,2000,3000,2500,30 Oct 2020
7,Pune,Pune,Carrot,Other,FAQ,1600,3000,2300,29 Oct 2020
8,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,28 Oct 2020
9,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,15 Oct 2020
10,Pune,Pune,Carrot,Other,FAQ,1200,2000,1600,14 Oct 2020
11,Pune,Pune,Carrot,Other,FAQ,1400,2500,2000,13 Oct 2020
12,Pune,Pune,Carrot,Other,FAQ,1200,2000,1600,12 Oct 2020
13,Pune,Pune,Carrot,Other,FAQ,1200,2000,1600,11 Oct 2020
14,Pune,Pune,Carrot,Other,FAQ,1400,2000,1700,09 Oct 2020
15,Pune,Pune,Carrot,Other,FAQ,1400,2500,1950,08 Oct 2020
16,Pune,Pune,Carrot,Other,FAQ,1400,2000,1700,07 Oct 2020
17,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,06 Oct 2020
18,Pune,Pune,Carrot,Other,FAQ,1200,1800,1500,05 Oct 2020
19,Pune,Pune,Carrot,Other,FAQ,1200,2000,1600,04 Oct 2020
20,Pune,Pune,Carrot,Other,FAQ,1000,1800,1400,02 Oct 2020
21,Pune,Pune,Carrot,Other,FAQ,1000,1800,1400,01 Oct 2020
22,Pune,Pune,Carrot,Other,FAQ,500,1500,1000,30 Sep 2020
23,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,29 Sep 2020
24,Pune,Pune,Carrot,Other,FAQ,1000,2500,1700,28 Sep 2020
25,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,27 Sep 2020
26,Pune,Pune,Carrot,Other,FAQ,1000,1600,1300,25 Sep 2020
27,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,24 Sep 2020
28,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,23 Sep 2020
29,Pune,Pune,Carrot,Other,FAQ,1000,2500,1700,22 Sep 2020
30,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,21 Sep 2020
31,Pune,Pune,Carrot,Other,FAQ,1500,2000,1750,20 Sep 2020
32,Pune,Pune,Carrot,Other,FAQ,800,1500,1150,18 Sep 2020
33,Pune,Pune,Carrot,Other,FAQ,1200,1600,1400,17 Sep 2020
34,Pune,Pune,Carrot,Other,FAQ,1000,1600,1300,16 Sep 2020
35,Pune,Pune,Carrot,Other,FAQ,1000,1600,1300,15 Sep 2020
36,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,14 Sep 2020
37,Pune,Pune,Carrot,Other,FAQ,1000,1600,1300,13 Sep 2020
38,Pune,Pune,Carrot,Other,FAQ,1000,1800,1400,11 Sep 2020
39,Pune,Pune,Carrot,Other,FAQ,500,1500,1200,10 Sep 2020
40,Pune,Pune,Carrot,Other,FAQ,1000,1500,1300,09 Sep 2020
41,Pune,Pune,Carrot,Other,FAQ,1000,1500,1200,08 Sep 2020
42,Pune,Pune,Carrot,Other,FAQ,1000,1500,1300,07 Sep 2020
43,Pune,Pune,Carrot,Other,FAQ,1000,1500,1200,06 Sep 2020
44,Pune,Pune,Carrot,Other,FAQ,1000,1500,1200,04 Sep 2020
45,Pune,Pune,Carrot,Other,FAQ,800,1500,1200,03 Sep 2020
