,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,3500,3250,06 Nov 2020
1,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,4000,3500,05 Nov 2020
2,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,5000,4500,04 Nov 2020
3,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,5000,4500,03 Nov 2020
4,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,5000,4500,02 Nov 2020
5,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,5000,4000,01 Nov 2020
6,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,4000,3750,30 Oct 2020
7,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5000,4250,29 Oct 2020
8,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5000,4250,28 Oct 2020
9,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1500,4000,2750,15 Oct 2020
10,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2000,4000,3000,14 Oct 2020
11,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5000,4250,13 Oct 2020
12,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,3500,3250,12 Oct 2020
13,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2500,4500,3500,11 Oct 2020
14,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2500,4500,3500,09 Oct 2020
15,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,5000,4500,08 Oct 2020
16,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,5000,4000,07 Oct 2020
17,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,5000,4500,06 Oct 2020
18,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5000,4000,04 Oct 2020
19,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,4000,3800,02 Oct 2020
20,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2500,5000,4000,30 Sep 2020
21,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2000,5000,3500,29 Sep 2020
22,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,6000,4800,28 Sep 2020
23,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,5000,4000,27 Sep 2020
24,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,5000,4500,25 Sep 2020
25,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5000,4300,24 Sep 2020
26,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1000,5000,3000,23 Sep 2020
27,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,5500,4500,22 Sep 2020
28,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5000,4250,20 Sep 2020
29,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,3500,3250,18 Sep 2020
30,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2500,4500,3500,17 Sep 2020
31,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5000,4250,16 Sep 2020
32,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2000,5000,3500,15 Sep 2020
33,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,4000,3700,13 Sep 2020
34,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,4500,4000,11 Sep 2020
35,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,5500,4500,09 Sep 2020
36,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,3500,3200,08 Sep 2020
37,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,4000,3500,06 Sep 2020
38,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,3500,3300,04 Sep 2020
39,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,4500,4200,03 Sep 2020
40,Pune,Pune,Pointed gourd (Parval),Other,FAQ,4000,5000,4500,31 Aug 2020
41,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2000,3500,2800,30 Aug 2020
42,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3500,4500,4000,28 Aug 2020
43,Pune,Pune,Pointed gourd (Parval),Other,FAQ,3000,3500,3200,25 Aug 2020
44,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,2000,1900,24 Aug 2020
45,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1200,3000,2100,23 Aug 2020
46,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,2000,1900,20 Aug 2020
47,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1500,1800,1600,19 Aug 2020
48,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,2000,1900,18 Aug 2020
49,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,2200,2000,17 Aug 2020
50,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1600,3500,2500,16 Aug 2020
51,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1500,3500,2200,14 Aug 2020
52,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1600,2500,2000,13 Aug 2020
53,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1500,1800,1700,12 Aug 2020
54,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2000,2500,2250,11 Aug 2020
55,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1600,1800,1700,10 Aug 2020
56,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,2000,1900,09 Aug 2020
57,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2000,3000,2500,07 Aug 2020
58,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2000,2500,2250,06 Aug 2020
59,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1000,1500,1250,05 Aug 2020
60,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1200,4000,2600,04 Aug 2020
61,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,3500,2600,03 Aug 2020
62,Pune,Pune,Pointed gourd (Parval),Other,FAQ,2500,3500,3000,02 Aug 2020
63,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,3000,2400,31 Jul 2020
64,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,4000,2600,30 Jul 2020
65,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1200,4000,2600,29 Jul 2020
66,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1800,4000,2800,28 Jul 2020
67,Pune,Pune,Pointed gourd (Parval),Other,FAQ,1200,2000,1600,27 Jul 2020
