,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Pune,Pune,Potato,Other,FAQ,2500,3500,3000,06 Nov 2020
1,Pune,Pune,Potato,Other,FAQ,2500,3600,3050,05 Nov 2020
2,Pune,Pune,Potato,Other,FAQ,2500,3500,3000,04 Nov 2020
3,Pune,Pune,Potato,Other,FAQ,2800,3600,3200,03 Nov 2020
4,Pune,Pune,Potato,Other,FAQ,2500,3600,3300,02 Nov 2020
5,Pune,Pune,Potato,Other,FAQ,3300,3900,3600,01 Nov 2020
6,Pune,Pune,Potato,Other,FAQ,3000,3600,3300,30 Oct 2020
7,Pune,Pune,Potato,Other,FAQ,3000,3700,3350,29 Oct 2020
8,Pune,Pune,Potato,Other,FAQ,3000,3600,3300,28 Oct 2020
9,Pune,Pune,Potato,Other,FAQ,2500,3200,2850,15 Oct 2020
10,Pune,Pune,Potato,Other,FAQ,2400,3000,2700,14 Oct 2020
11,Pune,Pune,Potato,Other,FAQ,2400,3000,2700,13 Oct 2020
12,Pune,Pune,Potato,Other,FAQ,2300,3100,2700,12 Oct 2020
13,Pune,Pune,Potato,Other,FAQ,2200,3100,2600,11 Oct 2020
14,Pune,Pune,Potato,Other,FAQ,2000,3000,2500,09 Oct 2020
15,Pune,Pune,Potato,Other,FAQ,2200,3000,2600,08 Oct 2020
16,Pune,Pune,Potato,Other,FAQ,2200,3000,2600,07 Oct 2020
17,Pune,Pune,Potato,Other,FAQ,2000,3000,2600,06 Oct 2020
18,Pune,Pune,Potato,Other,FAQ,2000,3100,2600,05 Oct 2020
19,Pune,Pune,Potato,Other,FAQ,2000,3000,2500,04 Oct 2020
20,Pune,Pune,Potato,Other,FAQ,1700,3000,2350,02 Oct 2020
21,Pune,Pune,Potato,Other,FAQ,1700,2800,2250,01 Oct 2020
22,Pune,Pune,Potato,Other,FAQ,1800,3100,2450,30 Sep 2020
23,Pune,Pune,Potato,Other,FAQ,1800,3100,2450,29 Sep 2020
24,Pune,Pune,Potato,Other,FAQ,1800,3000,2400,28 Sep 2020
25,Pune,Pune,Potato,Other,FAQ,1800,3000,2450,27 Sep 2020
26,Pune,Pune,Potato,Other,FAQ,1800,3000,2450,25 Sep 2020
27,Pune,Pune,Potato,Other,FAQ,1800,3000,2400,24 Sep 2020
28,Pune,Pune,Potato,Other,FAQ,1500,3200,2350,23 Sep 2020
