,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Pune,Pune,Peas Wet,Other,FAQ,12000,15000,13500,06 Nov 2020
1,Pune,Pune,Peas Wet,Other,FAQ,12000,14000,13000,05 Nov 2020
2,Pune,Pune,Peas Wet,Other,FAQ,8000,14000,11000,04 Nov 2020
3,Pune,Pune,Peas Wet,Other,FAQ,9000,14000,11500,03 Nov 2020
4,Pune,Pune,Peas Wet,Other,FAQ,8000,14000,11000,02 Nov 2020
5,Pune,Pune,Peas Wet,Other,FAQ,8000,14000,11000,01 Nov 2020
6,Pune,Pune,Peas Wet,Other,FAQ,8000,13000,10500,30 Oct 2020
7,Pune,Pune,Peas Wet,Other,FAQ,8000,10000,9000,29 Oct 2020
8,Pune,Pune,Peas Wet,Other,FAQ,8000,12000,10000,28 Oct 2020
9,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,15 Oct 2020
10,Pune,Pune,Peas Wet,Other,FAQ,7000,9000,8000,14 Oct 2020
11,Pune,Pune,Peas Wet,Other,FAQ,8000,12000,10000,13 Oct 2020
12,Pune,Pune,Peas Wet,Other,FAQ,8000,15000,11500,12 Oct 2020
13,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,11 Oct 2020
14,Pune,Pune,Peas Wet,Other,FAQ,5000,11000,8000,09 Oct 2020
15,Pune,Pune,Peas Wet,Other,FAQ,10000,12000,11000,08 Oct 2020
16,Pune,Pune,Peas Wet,Other,FAQ,10000,12000,11000,07 Oct 2020
17,Pune,Pune,Peas Wet,Other,FAQ,12000,16000,14000,06 Oct 2020
18,Pune,Pune,Peas Wet,Other,FAQ,10000,14000,12000,05 Oct 2020
19,Pune,Pune,Peas Wet,Other,FAQ,10000,18000,14000,04 Oct 2020
20,Pune,Pune,Peas Wet,Other,FAQ,12000,16000,14000,01 Oct 2020
21,Pune,Pune,Peas Wet,Other,FAQ,8000,12000,10000,29 Sep 2020
22,Pune,Pune,Peas Wet,Other,FAQ,12000,15000,14000,28 Sep 2020
23,Pune,Pune,Peas Wet,Other,FAQ,9000,11000,10000,25 Sep 2020
24,Pune,Pune,Peas Wet,Other,FAQ,8000,12000,10000,24 Sep 2020
25,Pune,Pune,Peas Wet,Other,FAQ,7000,12000,10000,23 Sep 2020
26,Pune,Pune,Peas Wet,Other,FAQ,7000,12000,10000,22 Sep 2020
27,Pune,Pune,Peas Wet,Other,FAQ,8000,12000,10000,21 Sep 2020
28,Pune,Pune,Peas Wet,Other,FAQ,7000,15000,11000,20 Sep 2020
29,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,18 Sep 2020
30,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,17 Sep 2020
31,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,16 Sep 2020
32,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,15 Sep 2020
33,Pune,Pune,Peas Wet,Other,FAQ,6500,10000,8300,14 Sep 2020
34,Pune,Pune,Peas Wet,Other,FAQ,7000,12000,9500,13 Sep 2020
35,Pune,Pune,Peas Wet,Other,FAQ,6000,12000,9000,11 Sep 2020
36,Pune,Pune,Peas Wet,Other,FAQ,7000,12000,10000,10 Sep 2020
37,Pune,Pune,Peas Wet,Other,FAQ,7000,12000,9500,09 Sep 2020
38,Pune,Pune,Peas Wet,Other,FAQ,7000,14000,10500,08 Sep 2020
39,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,07 Sep 2020
40,Pune,Pune,Peas Wet,Other,FAQ,7000,10000,8500,06 Sep 2020
41,Pune,Pune,Peas Wet,Other,FAQ,8000,12000,10000,04 Sep 2020
42,Pune,Pune,Peas Wet,Other,FAQ,7000,12000,9500,03 Sep 2020
43,Pune,Pune,Peas Wet,Other,FAQ,6000,10000,8000,01 Sep 2020
44,Pune,Pune,Peas Wet,Other,FAQ,6000,10000,8000,31 Aug 2020
45,Pune,Pune,Peas Wet,Other,FAQ,4000,10000,7000,30 Aug 2020
46,Pune,Pune,Peas Wet,Other,FAQ,3000,10000,6500,28 Aug 2020
47,Pune,Pune,Peas Wet,Other,FAQ,6000,10000,8000,27 Aug 2020
48,Pune,Pune,Peas Wet,Other,FAQ,5000,8000,6500,25 Aug 2020
49,Pune,Pune,Peas Wet,Other,FAQ,5000,8000,6500,24 Aug 2020
50,Pune,Pune,Peas Wet,Other,FAQ,4500,10000,8000,23 Aug 2020
