,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Surat,Surat,Bottle gourd,Other,FAQ,700,4500,2600,07 Nov 2020
1,Surat,Surat,Bottle gourd,Other,FAQ,800,4000,2400,06 Nov 2020
2,Surat,Surat,Bottle gourd,Other,FAQ,1000,4250,2625,05 Nov 2020
3,Surat,Surat,Bottle gourd,Other,FAQ,1000,4000,2500,04 Nov 2020
4,Surat,Surat,Bottle gourd,Other,FAQ,1000,5000,3000,03 Nov 2020
5,Surat,Surat,Bottle gourd,Other,FAQ,1200,5000,3100,30 Oct 2020
6,Surat,Surat,Bottle gourd,Other,FAQ,1000,5000,3000,29 Oct 2020
7,Surat,Surat,Bottle gourd,Other,FAQ,1000,5000,3000,28 Oct 2020
8,Surat,Surat,Bottle gourd,Other,FAQ,1250,6250,3750,27 Oct 2020
9,Surat,Surat,Bottle gourd,Other,FAQ,1000,5000,3000,26 Oct 2020
10,Surat,Surat,Bottle gourd,Other,FAQ,1000,5000,3000,25 Oct 2020
11,Surat,Surat,Bottle gourd,Other,FAQ,1000,5000,3000,24 Oct 2020
12,Surat,Surat,Bottle gourd,Other,FAQ,1100,5500,3300,23 Oct 2020
13,Surat,Surat,Bottle gourd,Other,FAQ,1400,7000,4200,22 Oct 2020
14,Surat,Surat,Bottle gourd,Other,FAQ,1200,6000,3600,21 Oct 2020
15,Surat,Surat,Bottle gourd,Other,FAQ,1100,5000,3050,20 Oct 2020
16,Surat,Surat,Bottle gourd,Other,FAQ,1200,5750,3475,19 Oct 2020
17,Surat,Surat,Bottle gourd,Other,FAQ,1200,6000,3600,18 Oct 2020
18,Surat,Surat,Bottle gourd,Other,FAQ,1500,7500,4500,17 Oct 2020
19,Surat,Surat,Bottle gourd,Other,FAQ,1200,6000,3600,16 Oct 2020
20,Surat,Surat,Bottle gourd,Other,FAQ,1500,7250,4375,15 Oct 2020
21,Surat,Surat,Bottle gourd,Other,FAQ,1250,6000,3625,14 Oct 2020
22,Surat,Surat,Bottle gourd,Other,FAQ,1500,7500,4500,13 Oct 2020
23,Surat,Surat,Bottle gourd,Other,FAQ,1500,7500,4500,12 Oct 2020
24,Surat,Surat,Bottle gourd,Other,FAQ,1400,7000,4200,10 Oct 2020
25,Surat,Surat,Bottle gourd,Other,FAQ,1500,7500,4500,09 Oct 2020
26,Surat,Surat,Bottle gourd,Other,FAQ,1400,7000,4200,08 Oct 2020
27,Surat,Surat,Bottle gourd,Other,FAQ,1400,7000,4200,07 Oct 2020
28,Surat,Surat,Bottle gourd,Other,FAQ,1500,7500,4500,30 Sep 2020
29,Surat,Surat,Bottle gourd,Other,FAQ,1500,5750,3625,29 Sep 2020
30,Surat,Surat,Bottle gourd,Other,FAQ,1600,8000,4800,28 Sep 2020
31,Surat,Surat,Bottle gourd,Other,FAQ,1300,6500,3900,26 Sep 2020
32,Surat,Surat,Bottle gourd,Other,FAQ,1300,6500,3900,25 Sep 2020
33,Surat,Surat,Bottle gourd,Other,FAQ,1400,7000,4200,24 Sep 2020
34,Surat,Surat,Bottle gourd,Other,FAQ,1500,6500,4000,23 Sep 2020
35,Surat,Surat,Bottle gourd,Other,FAQ,1400,7000,4200,22 Sep 2020
36,Surat,Surat,Bottle gourd,Other,FAQ,800,3500,2150,21 Sep 2020
37,Surat,Surat,Bottle gourd,Other,FAQ,1200,6000,3600,19 Sep 2020
38,Surat,Surat,Bottle gourd,Other,FAQ,500,2250,1375,14 Aug 2020
39,Surat,Surat,Bottle gourd,Other,FAQ,400,2250,1325,13 Aug 2020
40,Surat,Surat,Bottle gourd,Other,FAQ,400,2000,1200,27 Jul 2020
41,Surat,Surat,Bottle gourd,Other,FAQ,500,1800,1150,22 Jul 2020
42,Surat,Surat,Bottle gourd,Other,FAQ,500,2000,1250,18 Jul 2020
43,Surat,Surat,Bottle gourd,Other,FAQ,500,2200,1350,17 Jul 2020
44,Surat,Surat,Bottle gourd,Other,FAQ,600,2250,1425,11 Jul 2020
45,Surat,Surat,Bottle gourd,Other,FAQ,400,1750,1075,03 Jul 2020
