,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Surat,Surat,Cabbage,Other,FAQ,600,1500,1050,31 Aug 2020
1,Surat,Surat,Cabbage,Other,FAQ,500,1200,850,29 Aug 2020
2,Surat,Surat,Cabbage,Other,FAQ,800,1300,1050,28 Aug 2020
3,Surat,Surat,Cabbage,Other,FAQ,600,1250,925,27 Aug 2020
4,Surat,Surat,Cabbage,Other,FAQ,750,1300,1025,26 Aug 2020
5,Surat,Surat,Cabbage,Other,FAQ,600,1200,900,25 Aug 2020
6,Surat,Surat,Cabbage,Other,FAQ,400,1000,700,24 Aug 2020
7,Surat,Surat,Cabbage,Other,FAQ,600,1400,1000,21 Aug 2020
8,Surat,Surat,Cabbage,Other,FAQ,400,1100,750,20 Aug 2020
9,Surat,Surat,Cabbage,Other,FAQ,400,1100,750,19 Aug 2020
10,Surat,Surat,Cabbage,Other,FAQ,600,1100,850,18 Aug 2020
11,Surat,Surat,Cabbage,Other,FAQ,600,1400,1000,17 Aug 2020
12,Surat,Surat,Cabbage,Other,FAQ,400,1100,750,14 Aug 2020
13,Surat,Surat,Cabbage,Other,FAQ,400,1100,750,13 Aug 2020
14,Surat,Surat,Cabbage,Other,FAQ,500,1100,800,11 Aug 2020
15,Surat,Surat,Cabbage,Other,FAQ,300,1100,700,10 Aug 2020
16,Surat,Surat,Cabbage,Other,FAQ,400,1100,750,09 Aug 2020
17,Surat,Surat,Cabbage,Other,FAQ,400,1100,750,31 Jul 2020
18,Surat,Surat,Cabbage,Other,FAQ,500,1100,800,30 Jul 2020
19,Surat,Surat,Cabbage,Other,FAQ,400,1000,700,29 Jul 2020
20,Surat,Surat,Cabbage,Other,FAQ,300,1100,700,28 Jul 2020
21,Surat,Surat,Cabbage,Other,FAQ,300,800,550,27 Jul 2020
22,Surat,Surat,Cabbage,Other,FAQ,500,1100,800,24 Jul 2020
23,Surat,Surat,Cabbage,Other,FAQ,800,1100,950,23 Jul 2020
24,Surat,Surat,Cabbage,Other,FAQ,500,1100,800,22 Jul 2020
25,Surat,Surat,Cabbage,Other,FAQ,400,1000,700,21 Jul 2020
26,Surat,Surat,Cabbage,Other,FAQ,500,900,700,18 Jul 2020
27,Surat,Surat,Cabbage,Other,FAQ,400,1000,700,17 Jul 2020
28,Surat,Surat,Cabbage,Other,FAQ,400,900,650,16 Jul 2020
29,Surat,Surat,Cabbage,Other,FAQ,400,900,650,15 Jul 2020
30,Surat,Surat,Cabbage,Other,FAQ,400,900,650,14 Jul 2020
