DATE,MODAL
2020-08-31,1625.0
2020-08-29,1550.0
2020-08-28,1600.0
2020-08-27,1650.0
2020-08-26,1450.0
2020-08-25,1450.0
2020-08-24,1500.0
2020-08-21,1450.0
2020-08-20,1575.0
2020-08-19,1375.0
2020-08-18,1300.0
2020-08-17,1200.0
2020-08-14,925.0
2020-08-13,975.0
2020-08-11,900.0
2020-08-10,825.0
2020-08-09,850.0
2020-07-31,750.0
2020-07-30,750.0
2020-07-29,800.0
2020-07-28,900.0
2020-07-27,825.0
2020-07-24,850.0
2020-07-23,825.0
2020-07-22,825.0
2020-07-21,850.0
2020-07-18,950.0
2020-07-17,925.0
2020-07-16,950.0
2020-07-15,950.0
2020-07-14,950.0
2020-07-11,925.0
2020-07-10,925.0
2020-07-09,900.0
2020-07-08,925.0
2020-07-07,925.0
2020-07-06,950.0
2020-06-26,975.0
2020-06-25,925.0
2020-06-24,975.0
2020-06-20,925.0
2020-06-19,975.0
2020-06-18,975.0
2020-06-17,975.0
2020-06-16,925.0
2020-06-15,925.0
2020-06-14,900.0
2020-06-12,925.0
2020-06-11,925.0
2020-06-10,975.0
2020-06-08,1125.0
2020-06-07,900.0
2020-06-06,850.0
2020-06-05,825.0
2020-06-04,900.0
2020-05-31,975.0
2020-05-30,775.0
2020-05-29,775.0
2020-05-28,875.0
2020-05-27,900.0
2020-05-25,850.0
2020-05-24,887.0
2020-05-23,837.0
2020-05-22,850.0
2020-05-21,825.0
2020-05-20,825.0
2020-05-19,800.0
2020-05-18,850.0
2020-05-17,875.0
2020-05-16,850.0
2020-05-15,850.0
2020-05-13,900.0
2020-05-07,725.0
2020-05-06,725.0
2020-05-05,825.0
2020-04-30,800.0
2020-04-29,875.0
2020-04-28,850.0
2020-04-27,875.0
2020-04-26,850.0
2020-04-25,800.0
2020-04-24,800.0
2020-04-23,825.0
2020-04-22,775.0
2020-04-21,850.0
2020-04-20,875.0
2020-04-19,825.0
2020-04-18,1050.0
2020-04-16,950.0
2020-04-15,1050.0
2020-04-14,1075.0
2020-04-12,1200.0
2020-04-11,1150.0
