,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Pune,Pune,Beans,Other,FAQ,3500,7000,5250,06 Nov 2020
1,Pune,Pune,Beans,Other,FAQ,3000,6000,4500,05 Nov 2020
2,Pune,Pune,Beans,Other,FAQ,4000,7000,5500,04 Nov 2020
3,Pune,Pune,Beans,Other,FAQ,3500,8000,5750,03 Nov 2020
4,Pune,Pune,Beans,Other,FAQ,4000,8000,6000,02 Nov 2020
5,Pune,Pune,Beans,Other,FAQ,5000,7000,6000,01 Nov 2020
6,Pune,Pune,Beans,Other,FAQ,5000,8000,6500,30 Oct 2020
7,Pune,Pune,Beans,Other,FAQ,5000,10000,7500,29 Oct 2020
8,Pune,Pune,Beans,Other,FAQ,5000,10000,7500,28 Oct 2020
9,Pune,Pune,Beans,Other,FAQ,4000,6000,5000,15 Oct 2020
10,Pune,Pune,Beans,Other,FAQ,4000,5500,4800,14 Oct 2020
11,Pune,Pune,Beans,Other,FAQ,3500,6000,4250,13 Oct 2020
12,Pune,Pune,Beans,Other,FAQ,3000,5000,4000,12 Oct 2020
13,Pune,Pune,Beans,Other,FAQ,3000,5000,4000,11 Oct 2020
14,Pune,Pune,Beans,Other,FAQ,4000,5000,4500,09 Oct 2020
15,Pune,Pune,Beans,Other,FAQ,4000,6000,5000,08 Oct 2020
16,Pune,Pune,Beans,Other,FAQ,4000,6000,5000,07 Oct 2020
17,Pune,Pune,Beans,Other,FAQ,4000,6000,5000,06 Oct 2020
18,Pune,Pune,Beans,Other,FAQ,4000,7000,6000,05 Oct 2020
19,Pune,Pune,Beans,Other,FAQ,4000,7000,6000,04 Oct 2020
20,Pune,Pune,Beans,Other,FAQ,4000,7000,5500,02 Oct 2020
21,Pune,Pune,Beans,Other,FAQ,2500,7000,5000,01 Oct 2020
22,Pune,Pune,Beans,Other,FAQ,5000,8000,6500,30 Sep 2020
23,Pune,Pune,Beans,Other,FAQ,4000,8000,6000,29 Sep 2020
24,Pune,Pune,Beans,Other,FAQ,4000,9000,6500,28 Sep 2020
25,Pune,Pune,Beans,Other,FAQ,4000,10000,7000,27 Sep 2020
26,Pune,Pune,Beans,Other,FAQ,3000,6000,4500,25 Sep 2020
27,Pune,Pune,Beans,Other,FAQ,3000,6000,4500,24 Sep 2020
28,Pune,Pune,Beans,Other,FAQ,3000,7000,5000,23 Sep 2020
29,Pune,Pune,Beans,Other,FAQ,3000,6000,4500,22 Sep 2020
30,Pune,Pune,Beans,Other,FAQ,3000,6000,4500,21 Sep 2020
31,Pune,Pune,Beans,Other,FAQ,3000,8500,5750,20 Sep 2020
32,Pune,Pune,Beans,Other,FAQ,3000,5000,4000,18 Sep 2020
33,Pune,Pune,Beans,Other,FAQ,2500,5000,3750,17 Sep 2020
34,Pune,Pune,Beans,Other,FAQ,2500,4000,3250,16 Sep 2020
35,Pune,Pune,Beans,Other,FAQ,2500,5000,3750,15 Sep 2020
36,Pune,Pune,Beans,Other,FAQ,3000,4000,3500,14 Sep 2020
37,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,13 Sep 2020
38,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,11 Sep 2020
39,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,10 Sep 2020
40,Pune,Pune,Beans,Other,FAQ,2000,2500,2250,09 Sep 2020
41,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,08 Sep 2020
42,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,07 Sep 2020
43,Pune,Pune,Beans,Other,FAQ,2000,5000,3500,06 Sep 2020
44,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,04 Sep 2020
45,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,03 Sep 2020
46,Pune,Pune,Beans,Other,FAQ,2000,5000,3500,01 Sep 2020
47,Pune,Pune,Beans,Other,FAQ,2500,4000,3200,31 Aug 2020
48,Pune,Pune,Beans,Other,FAQ,2500,4000,3200,30 Aug 2020
49,Pune,Pune,Beans,Other,FAQ,3000,4000,3500,28 Aug 2020
50,Pune,Pune,Beans,Other,FAQ,2000,3500,2700,27 Aug 2020
51,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,25 Aug 2020
52,Pune,Pune,Beans,Other,FAQ,1500,5500,3500,24 Aug 2020
53,Pune,Pune,Beans,Other,FAQ,1200,4000,2600,23 Aug 2020
54,Pune,Pune,Beans,Other,FAQ,1200,2000,1600,21 Aug 2020
55,Pune,Pune,Beans,Other,FAQ,1000,2000,1500,20 Aug 2020
56,Pune,Pune,Beans,Other,FAQ,1200,2000,1600,19 Aug 2020
57,Pune,Pune,Beans,Other,FAQ,1200,2000,1600,18 Aug 2020
58,Pune,Pune,Beans,Other,FAQ,1000,2000,1500,17 Aug 2020
59,Pune,Pune,Beans,Other,FAQ,1200,2500,1800,16 Aug 2020
60,Pune,Pune,Beans,Other,FAQ,1000,1500,1250,14 Aug 2020
61,Pune,Pune,Beans,Other,FAQ,800,1200,1000,13 Aug 2020
62,Pune,Pune,Beans,Other,FAQ,800,2000,1400,12 Aug 2020
63,Pune,Pune,Beans,Other,FAQ,600,1500,1000,11 Aug 2020
64,Pune,Pune,Beans,Other,FAQ,800,1500,1200,10 Aug 2020
65,Pune,Pune,Beans,Other,FAQ,800,1500,1200,09 Aug 2020
66,Pune,Pune,Beans,Other,FAQ,1000,2500,1700,07 Aug 2020
67,Pune,Pune,Beans,Other,FAQ,1200,2500,1750,06 Aug 2020
68,Pune,Pune,Beans,Other,FAQ,1000,2500,1750,05 Aug 2020
69,Pune,Pune,Beans,Other,FAQ,1500,2500,2000,04 Aug 2020
70,Pune,Pune,Beans,Other,FAQ,1500,3000,2250,03 Aug 2020
71,Pune,Pune,Beans,Other,FAQ,1000,3000,2000,02 Aug 2020
72,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,31 Jul 2020
73,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,30 Jul 2020
74,Pune,Pune,Beans,Other,FAQ,3000,4000,3500,29 Jul 2020
75,Pune,Pune,Beans,Other,FAQ,1500,4000,2750,28 Jul 2020
76,Pune,Pune,Beans,Other,FAQ,2000,4000,3000,27 Jul 2020
