,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Pune,Pune,Cabbage,Other,FAQ,2000,3000,2500,06 Nov 2020
1,Pune,Pune,Cabbage,Other,FAQ,2000,3500,2750,05 Nov 2020
2,Pune,Pune,Cabbage,Other,FAQ,2000,4000,3000,04 Nov 2020
3,Pune,Pune,Cabbage,Other,FAQ,2000,3500,2750,03 Nov 2020
4,Pune,Pune,Cabbage,Other,FAQ,2000,3500,2750,02 Nov 2020
5,Pune,Pune,Cabbage,Other,FAQ,2000,3500,2750,01 Nov 2020
6,Pune,Pune,Cabbage,Other,FAQ,2000,4000,3000,30 Oct 2020
7,Pune,Pune,Cabbage,Other,FAQ,2000,4000,3000,29 Oct 2020
8,Pune,Pune,Cabbage,Other,FAQ,2500,3500,3000,28 Oct 2020
9,Pune,Pune,Cabbage,Other,FAQ,1600,3000,2300,15 Oct 2020
10,Pune,Pune,Cabbage,Other,FAQ,1000,3000,2000,14 Oct 2020
11,Pune,Pune,Cabbage,Other,FAQ,1000,3000,2000,13 Oct 2020
12,Pune,Pune,Cabbage,Other,FAQ,1000,2500,1750,12 Oct 2020
13,Pune,Pune,Cabbage,Other,FAQ,1400,3000,2200,11 Oct 2020
14,Pune,Pune,Cabbage,Other,FAQ,1000,3000,2000,09 Oct 2020
15,Pune,Pune,Cabbage,Other,FAQ,1200,2500,1850,08 Oct 2020
16,Pune,Pune,Cabbage,Other,FAQ,1200,2200,1700,07 Oct 2020
17,Pune,Pune,Cabbage,Other,FAQ,1200,3000,2000,06 Oct 2020
18,Pune,Pune,Cabbage,Other,FAQ,1200,3000,2000,05 Oct 2020
19,Pune,Pune,Cabbage,Other,FAQ,1000,2500,2000,04 Oct 2020
20,Pune,Pune,Cabbage,Other,FAQ,1000,2200,1600,02 Oct 2020
21,Pune,Pune,Cabbage,Other,FAQ,1000,2500,2000,01 Oct 2020
22,Pune,Pune,Cabbage,Other,FAQ,1000,2000,1500,30 Sep 2020
23,Pune,Pune,Cabbage,Other,FAQ,1000,2000,1500,29 Sep 2020
24,Pune,Pune,Cabbage,Other,FAQ,1000,2000,1500,28 Sep 2020
25,Pune,Pune,Cabbage,Other,FAQ,700,1500,1000,27 Sep 2020
26,Pune,Pune,Cabbage,Other,FAQ,800,1500,1000,25 Sep 2020
27,Pune,Pune,Cabbage,Other,FAQ,700,1200,1000,24 Sep 2020
28,Pune,Pune,Cabbage,Other,FAQ,700,1400,1000,23 Sep 2020
29,Pune,Pune,Cabbage,Other,FAQ,700,1200,1000,22 Sep 2020
30,Pune,Pune,Cabbage,Other,FAQ,700,1200,950,21 Sep 2020
31,Pune,Pune,Cabbage,Other,FAQ,700,1500,1100,20 Sep 2020
32,Pune,Pune,Cabbage,Other,FAQ,700,1300,1000,18 Sep 2020
33,Pune,Pune,Cabbage,Other,FAQ,700,1200,950,17 Sep 2020
34,Pune,Pune,Cabbage,Other,FAQ,500,1200,850,16 Sep 2020
35,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,15 Sep 2020
36,Pune,Pune,Cabbage,Other,FAQ,500,1200,800,14 Sep 2020
37,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,13 Sep 2020
38,Pune,Pune,Cabbage,Other,FAQ,700,1200,900,11 Sep 2020
39,Pune,Pune,Cabbage,Other,FAQ,600,1000,800,10 Sep 2020
40,Pune,Pune,Cabbage,Other,FAQ,700,1200,1000,09 Sep 2020
41,Pune,Pune,Cabbage,Other,FAQ,500,1500,1000,08 Sep 2020
42,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,07 Sep 2020
43,Pune,Pune,Cabbage,Other,FAQ,600,1200,1000,06 Sep 2020
