,DISTRICT,MARKET,COMMODITY,VARIETY,GRADE,MIN,MAX,MODAL,DATE
0,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5750,4375,07 Nov 2020
1,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5750,4375,06 Nov 2020
2,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6250,4875,05 Nov 2020
3,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6250,4875,04 Nov 2020
4,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6000,4750,03 Nov 2020
5,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2500,6000,4250,30 Oct 2020
6,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6500,5000,29 Oct 2020
7,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6500,5000,28 Oct 2020
8,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6250,4875,27 Oct 2020
9,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6000,4750,26 Oct 2020
10,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5500,4500,25 Oct 2020
11,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2500,4750,3625,24 Oct 2020
12,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2500,4500,3500,23 Oct 2020
13,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2750,4750,3750,22 Oct 2020
14,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2750,4750,3750,21 Oct 2020
15,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2500,4000,3250,20 Oct 2020
16,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2250,3750,3000,19 Oct 2020
17,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2250,3750,3000,18 Oct 2020
18,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,3500,2500,17 Oct 2020
19,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,3750,2875,16 Oct 2020
20,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2250,3700,2975,15 Oct 2020
21,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,4250,3125,14 Oct 2020
22,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,3500,2750,13 Oct 2020
23,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,3750,2875,12 Oct 2020
24,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,3500,2750,10 Oct 2020
25,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,3500,2750,09 Oct 2020
26,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2500,4250,3375,08 Oct 2020
27,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2500,4000,3250,07 Oct 2020
28,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5500,4250,06 Oct 2020
29,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5500,4250,05 Oct 2020
30,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,6000,5000,03 Oct 2020
31,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6250,4875,02 Oct 2020
32,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,6250,5125,30 Sep 2020
33,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6500,5000,29 Sep 2020
34,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6000,4750,28 Sep 2020
35,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,6250,5125,26 Sep 2020
36,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3750,6000,4875,25 Sep 2020
37,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6250,4875,24 Sep 2020
38,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4500,5750,5125,23 Sep 2020
39,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,6000,4500,22 Sep 2020
40,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5750,4375,21 Sep 2020
41,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6250,4875,19 Sep 2020
42,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6000,4750,18 Sep 2020
43,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6000,4750,17 Sep 2020
44,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,5500,4750,16 Sep 2020
45,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5500,4500,15 Sep 2020
46,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6250,4875,14 Sep 2020
47,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5250,4125,12 Sep 2020
48,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2500,5750,4125,11 Sep 2020
49,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5750,4625,10 Sep 2020
50,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5250,4375,09 Sep 2020
51,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5500,4500,08 Sep 2020
52,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5500,4500,07 Sep 2020
53,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5500,4500,05 Sep 2020
54,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,5500,4750,04 Sep 2020
55,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,5750,4875,03 Sep 2020
56,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6000,4750,02 Sep 2020
57,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,4000,2750,24 Aug 2020
58,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2800,2150,21 Aug 2020
59,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2600,2050,20 Aug 2020
60,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2500,2000,19 Aug 2020
61,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2500,1750,18 Aug 2020
62,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2500,2000,17 Aug 2020
63,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,1800,1300,14 Aug 2020
64,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1800,1250,13 Aug 2020
65,Surat,Surat,Pointed gourd (Parval),Other,FAQ,600,1500,1050,11 Aug 2020
66,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1600,1175,10 Aug 2020
67,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1500,1100,09 Aug 2020
68,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1400,950,08 Aug 2020
69,Surat,Surat,Pointed gourd (Parval),Other,FAQ,600,1400,1000,07 Aug 2020
70,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1400,1075,06 Aug 2020
71,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1400,950,05 Aug 2020
72,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1400,1050,04 Aug 2020
73,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1100,750,29 Jul 2020
74,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1250,825,28 Jul 2020
75,Surat,Surat,Pointed gourd (Parval),Other,FAQ,300,900,600,24 Jul 2020
76,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1200,800,23 Jul 2020
77,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1250,1000,22 Jul 2020
78,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1300,900,21 Jul 2020
79,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1100,750,18 Jul 2020
80,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1100,750,17 Jul 2020
81,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1300,1025,16 Jul 2020
82,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1250,1000,15 Jul 2020
83,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1300,1025,14 Jul 2020
84,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1300,1000,11 Jul 2020
85,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1250,975,10 Jul 2020
86,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1300,900,09 Jul 2020
87,Surat,Surat,Pointed gourd (Parval),Other,FAQ,600,1300,950,08 Jul 2020
88,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1200,800,07 Jul 2020
89,Surat,Surat,Pointed gourd (Parval),Other,FAQ,300,900,600,06 Jul 2020
90,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1250,825,04 Jul 2020
91,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1250,875,03 Jul 2020
92,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1250,825,02 Jul 2020
93,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1100,750,01 Jul 2020
94,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1750,1250,24 Jun 2020
95,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1700,1200,20 Jun 2020
96,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2000,1625,19 Jun 2020
97,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2250,1750,18 Jun 2020
98,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2250,1750,17 Jun 2020
99,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2250,1625,16 Jun 2020
100,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2750,2000,15 Jun 2020
101,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2600,1925,14 Jun 2020
102,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1700,2900,2300,12 Jun 2020
103,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2750,2125,11 Jun 2020
104,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2800,2150,10 Jun 2020
105,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2750,2125,08 Jun 2020
106,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1300,2500,1900,07 Jun 2020
107,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1400,2500,1950,06 Jun 2020
108,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2250,1750,05 Jun 2020
109,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2150,1575,04 Jun 2020
110,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2150,1575,03 Jun 2020
111,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1100,2150,1625,02 Jun 2020
112,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,2000,1400,31 May 2020
113,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,2000,1450,30 May 2020
114,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2250,1750,29 May 2020
115,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,2000,1450,28 May 2020
116,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,1900,1450,27 May 2020
117,Surat,Surat,Pointed gourd (Parval),Other,FAQ,600,1500,1050,25 May 2020
118,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1500,1000,24 May 2020
119,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1300,900,23 May 2020
120,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,2000,1400,22 May 2020
121,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,1600,1200,21 May 2020
122,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,1650,1225,20 May 2020
123,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,1650,1225,19 May 2020
124,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1600,1150,18 May 2020
125,Surat,Surat,Pointed gourd (Parval),Other,FAQ,500,1300,900,17 May 2020
126,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1100,750,16 May 2020
127,Surat,Surat,Pointed gourd (Parval),Other,FAQ,400,1100,750,15 May 2020
128,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,1500,1150,13 May 2020
129,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1600,1175,07 May 2020
130,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,1850,1325,06 May 2020
131,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,1850,1550,05 May 2020
132,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2000,1625,04 May 2020
133,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1400,1075,03 May 2020
134,Surat,Surat,Pointed gourd (Parval),Other,FAQ,700,1400,1050,02 May 2020
135,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1600,1175,30 Apr 2020
136,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,1650,1275,29 Apr 2020
137,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,1800,1350,28 Apr 2020
138,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,1900,1450,27 Apr 2020
139,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,2000,1450,26 Apr 2020
140,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2250,1625,25 Apr 2020
141,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,2000,1450,24 Apr 2020
142,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,2100,1500,23 Apr 2020
143,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,2000,1400,22 Apr 2020
144,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,2100,1450,21 Apr 2020
145,Surat,Surat,Pointed gourd (Parval),Other,FAQ,750,1800,1275,20 Apr 2020
146,Surat,Surat,Pointed gourd (Parval),Other,FAQ,900,1900,1400,19 Apr 2020
147,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1250,2750,2000,18 Apr 2020
148,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1400,2750,2075,16 Apr 2020
149,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2600,2050,15 Apr 2020
150,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1300,2300,1800,14 Apr 2020
151,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2000,1500,12 Apr 2020
152,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2000,1500,11 Apr 2020
153,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,1800,1300,10 Apr 2020
154,Surat,Surat,Pointed gourd (Parval),Other,FAQ,800,2300,1550,09 Apr 2020
155,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1750,2500,2125,04 Apr 2020
156,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1000,2150,1575,03 Apr 2020
157,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1400,2600,2000,02 Apr 2020
158,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2500,2000,01 Apr 2020
159,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2500,2000,31 Mar 2020
160,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2250,1875,30 Mar 2020
161,Surat,Surat,Pointed gourd (Parval),Other,FAQ,1500,2900,2200,28 Mar 2020
162,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5250,4375,24 Mar 2020
163,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,6000,5000,21 Mar 2020
164,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5750,4625,20 Mar 2020
165,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5750,4625,19 Mar 2020
166,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5850,4675,18 Mar 2020
167,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5250,4375,17 Mar 2020
168,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,5250,4375,16 Mar 2020
169,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5250,4125,14 Mar 2020
170,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3250,5000,4125,13 Mar 2020
171,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,4850,3925,12 Mar 2020
172,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,4250,3125,09 Mar 2020
173,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2000,4250,3125,08 Mar 2020
174,Surat,Surat,Pointed gourd (Parval),Other,FAQ,2750,4500,3625,07 Mar 2020
175,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3000,5500,4250,05 Mar 2020
176,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,5500,4750,04 Mar 2020
177,Surat,Surat,Pointed gourd (Parval),Other,FAQ,4000,5750,4875,03 Mar 2020
178,Surat,Surat,Pointed gourd (Parval),Other,FAQ,3500,6000,4750,29 Feb 2020
